አፍሪቃ	非洲
አሌክሳንድር ሄሊዮስ	亚历山大·赫利俄斯
በርናርድ ምላሙድ	伯纳德·马拉默德
አማር-ሲን	阿马尔-辛
ኤአናቱም	恩納圖姆
ኢቢ-ሲን	伊比辛
1 ነፈርሆተፕ	内弗尔霍特普一世
አዲግራት	阿迪格拉特
ሹ-ሲን	舒辛
ሱሙ-አቡም	苏姆阿布姆
ፈቃድ	意志
ሲክዮን	西锡安
ፒጣና	皮坦纳
ቢታንያ	比提尼亞
ወደፊት ገስግሺ ውድ እናት ኢትዮጵያ	前進，我的母親衣索比亞
ዲዬጎ ሉጋኖ	迭戈·卢加诺
ሲን-ሙባሊት	辛·穆巴里特
ሆር አዊብሬ	荷尔 (法老)
ኤሽኑና	埃什南纳
አርዋድ	艾尔瓦德岛
ኣምባሩድ	樹番茄
ኡቱ-ኸጛል	乌图赫加尔
ኒኑርታ-አፒል-ኤኩር	尼努尔塔-阿帕尔-伊库尔
ኤንመባራገሲ	恩美巴拉格西
ኤንመተና	恩铁美那
አድዋ	阿杜瓦
ኡሰርካሬ ኸንጀር	汗杰
ኃይለማሪያም ደሳለኝ	海爾馬里亞姆·德薩萊尼
የቤልጅግ የዘውድ እግር ኳስ ማህበር	比利時足球協會
ጅማ	吉馬
መሲሊም	麦西里姆
ቁንጫ	跳蚤
ሳምሱ-ዲታና	萨姆苏·地塔那
አጋታርከስ	阿伽撒尔基德斯
ሻንግጭዩ	商丘市
ዡ	杼
ጋስቶን ራሚሬዝ	加斯頓·拉美利斯
ደብረ አማና	努爾山脈
የስዊድን እግር ኳስ ማህበር	瑞典足球協會
አርፋክስድ	亚法撒
ሪም-ሲን	瑞姆辛一世
ሒሚልኮን	希米尔科
1 እሽመ-ዳጋን	伊什麦达干
ክለብ አሜሪካ	阿美利加足球俱樂部
ዳርዳኑስ	達耳達諾斯
እፃዊ ተዋልዶ	營養繁殖
ፋሲል ግቢ	法西尔盖比
ባሕር-ዳር	巴赫達爾
ጀምፓ ላሂሪ	鍾芭·拉希莉
ማርጋሬት ላንዶን	瑪格麗特·蘭登
ንዚንጋ ምባንዴ	恩津加
1 ካዳሽማን-ኤንሊል	卡达什曼·恩利尔一世
የስዊዘርላንድ እግር ኳስ ማህበር	瑞士足球協會
«የተከሠተው ዕድል»	昭昭天命
መሮ	鑿
የኦራፂዮች ቃለ መሐላ	荷拉斯兄弟之誓
አምፖስታ	安波斯塔
ታን ሶን ናት ዓለም አቀፍ አውሮፕላን ማረፊያ	新山一國際機場
ኤድዊን ቫን ደር ሳር	埃德文·范德萨
ደራሲ	作者
ፓሪስ ሴንት-ጀርሜይን የእግር ኳስ ክለብ	巴黎圣日耳曼足球俱乐部
አላማ ኢቅባል	穆罕默德·伊克巴勒
የሞዛምቢክ ሰንደቅ ዓላማ	莫桑比克国旗
ሊኒያር እኩልዮሽ	一次方程
ሬማገን	雷马根
ቢላል	比拉勒
ስቶከራው	施托克勞
ኬልሃይም	克尔海姆
ጨረቃ ላይ መውጣት	登陸月球
የኮሪያ እግር ኳስ ማህበር	韓國足球協會
ሃማሮዕ	哈马勒市
ክለብ ናስዮናል ዴ ፉትቦል	民族足球俱乐部
ኢሲን	伊辛
ኤሌክትሪክ ፍሰት	电通量
ዔቦር	希伯
ባየርብሩን	拜埃尔布伦
የላይቤሪያ ፕሬዝዳንት	利比里亚总统列表
ሜሪማክ ወንዝ	梅里马克河
መሪካሬ	梅利卡拉
ሳቢዩም	萨比乌姆
ሱሙላኤል	苏姆拉埃尔
አፒል-ሲን	阿皮尔-辛
ድልማጥያ	達爾馬提亞
አሶሳ	阿索萨
በእንግሊዝ የሚገኙ የእግር ኳስ ሜዳዎች ዝርዝር	英格蘭足球場列表
የአሜሪካን ዶላር ኢንዴክስ	美元指数
የኢትዮጵያ እግር ኳስ ፌዴሬሽን	埃塞俄比亞足球協會
የኤል ሳልቫዶር እግር ኳስ ፌዴሬሽን	薩爾瓦多足球協會
ዳንጉን ዋንገም	檀君
ሔርሆር	赫里霍尔
ዱዱ	杜度 (国王)
ኆኅተ እና	与门
ኆኅተ ወይም	或门
እሽቢ-ኤራ	伊什比·埃拉
ጂዮቫኒ ዶስ ሳንቶስ	吉奥瓦尼·多斯桑托斯
ኤጲሮስ	伊庇鲁斯地区
የፍርድ ቀን	最后的审判 (壁画)
አንሻን	安善
ሲክ ሰምፔር ቲራኒስ	Sic semper tyrannis
ኤበርስሃውዘን	埃贝尔斯豪森
ኖይማገን-ድሮን	诺伊马根-德赫龙
የቻይና እግር ኳስ ማህበር	中国足球协会
አልባሴቴ ባሎምፕዬ	阿爾巴塞特足球會
ፒኮ ክሪስቶባል ኮሎን	哥伦布峰
የጃፓን እግር ኳስ ማህበር	日本足球協會
ዳኑቢዮ የእግር ኳስ ክለብ	多瑙河足球俱乐部
ታራ	他拉
አንቅቲፊ	安赫梯菲
አክሻክ	阿克沙克
የቺሌ እግር ኳስ ፌዴሬሽን	智利足球协会
ክለብ ኦሊምፒያ	奥林匹亚俱乐部
ጎልበርን (ከተማ)	古尔本
አርሚዳል	阿米代尔
ሴስኖክ (ከተማ)	塞斯诺克
የሲሸልስ እግር ኳስ ፌዴሬሽን	塞舌爾足球協會
ልድያ	呂底亞
ኪልቅያ	奇里乞亚
የሳዑዲ አረቢያ እግር ኳስ ፌዴሬሽን	沙特阿拉伯足球協會
የኡዝቤኪስታን እግር ኳስ ፌዴሬሽን	乌兹别克斯坦足球协会
የማሌዢያ እግር ኳስ ማህበር	馬來西亞足球協會
የኪርጊዝ ሪፐብሊክ እግር ኳስ ፌዴሬሽን	吉爾吉斯斯坦足球協會
ሚስያ	密细亚
ቀበቶ (ማሽን)	带 (机械)
ዳ ዩ	禹
ሹዱሩል	苏·图如尔
ጉሬዛ	东黑白疣猴
ማርሽ ተፈሪ	保持开朗，埃塞俄比亚
ኮፕዮር ወንዝ	霍皮奧爾河
ቆረቆር	頭癬
የኖርተን እርግጥ	諾頓定理
ሊፒት-ኤንሊል	里皮特·恩利尔
ዊንድሁክ ሆዜ ኩታኮ ዓለምአቀፍ አውሮፕላን ማረፊያ	霍齐亚·库塔科国际机场
ናቪያ	纳维亚
ኒዦን	尼容 (上马恩省)
የጎባጣ ርዝመት	弧长
ይስሐቅ	以撒
ሳካዎች	塞族
ሶዶ	索多
ሳን ማሪኖ	聖馬力諾 (消歧義)
ኢሉሹማ	伊路舒玛
ሐቡር ወንዝ	哈布爾河
ክሊፍተን፥ አሪዞና	克利夫頓 (亞利桑那州)
ባንፊልድ አትሌቲክ ክለብ	班菲尔德竞技俱乐部
ክሪስታል ራዲዮ	矿石收音机
የኢትዮጵያ አየር መንገድ በረራ 409	埃塞俄比亞航空409號班機空難
ታራንትኛ	塔伦蒂诺语
የናቡከደነጾር የምስል ሕልም	但以理书第2章
ማሪያ ዛል	玛丽亚萨尔
ባተርስት (ከተማ)	巴瑟斯特 (新南威尔士州)
የኡር-ናሙ ሕግጋት	吾珥南模法典
ሺንሺ	神市
ክለብ አትሌቲኮ ሴሮ	塞罗竞技俱乐部
1 ኤሪሹም	伊里舒姆一世
ዲ ኩ	嚳
የኡራጓይ እግር ኳስ ማህበር	乌拉圭足球协会
ርግ ቬዳ	梨俱吠陀
የሀንጋሪ እግር ኳስ ፌዴሬሽን	匈牙利足球總會
4 ካሽቲሊያሽ	卡什提里亚什四世
ዳሚቅ-ኢሊሹ	达米克—伊利舒
ኢላ-ካብካቡ	伊拉-卡布卡巴
ኡኒቨርሲዳድ ዴ ቺሌ ክለብ	智利大学足球俱乐部
Yeghishe Charents	叶格依舍·恰连茨
የሲቢሊን ራዕዮች	西比拉神谕
አሰላ	阿塞拉
ደብረ ዘይት	德布雷塞特
አፅትላን	阿茲特蘭
ዓይንባይን ዝምድና	遞迴關係式
ጎባ	戈巴
ባዮና	拜奥纳
ባስተርናያውያን	巴斯塔奈人
ደሴ	德西 (埃塞俄比亞)
የባንጯን ውግያ	阪泉之战
ጅጅጋ	吉吉加
አዋሳ	阿瓦薩
ሚዳቋ	灰小羚羊
ከቅድመ-ሴማዊ የደረሱት ጽሕፈቶች ትውልድ	原始西奈文字系譜
ጋምቤላ (ከተማ)	甘贝拉
ማጫ	聘礼
ሲ.ኤፍ. ሞንተሬይ	蒙特雷足球俱乐部
ኪልሜስ አትሌቲኮ ክለብ	基尔梅斯竞技俱乐部
የሆንዱራስ ራስ ገዥ ብሔራዊ እግር ኳስ ፌዴሬሽን	洪都拉斯國家足球協會
አዋሽ ወንዝ	阿瓦什河
ሐይክ	哈伊克
የአዋሽ በሔራዊ ፓርክ	阿瓦什國家公園
ባሌ ዞን	巴萊地區
ታሁሙልኮ	塔胡木耳科火山
ሜኖንጉዌ	梅農蓋
ያው	尧
ታፋላ	塔法利亚
የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ ቡድኖች	2010年世界盃足球賽參賽名單
የኢትዮጵያ ነገሥታት	埃塞俄比亚君主列表
የኮሎምቢያ እግር ኳስ ፌዴሬሽን	哥伦比亚足球协会
የደቡብ አፍሪካ እግር ኳስ ማህበር	南非足球協會
ኒው ዚላንድ እግር ኳስ	新西蘭足球協會
ተከዜ	特克澤河
ጤፍ	苔麸
ዲፌንሶር ስፖርቲንግ	防卫者体育
ጉራጌ	古拉格人
መስ-አኔ-ፓዳ	阿-安涅帕达
ፍሎረንስ፥ አሪዞና	弗洛伦斯 (亚利桑那州)
ክሩዝ አዙል	藍十字體育會
እስኩቴስ	斯基提亞
የአንጎላ ፕሬዝዳንት	安哥拉总统
ቁና	锥台
ክለብ ሊበርታድ	自由俱乐部
ወጋኝ አግላይ መርህ	排容原理
ቲግሬስ ዴ ላ ዩ.ኤ.ኤን.ኤል.	新莱昂自治大学老虎足球俱乐部
ሴሬሶ ኦሳካ	大阪櫻花
ሻንዶንግ ልሳነ ምድር	山东半岛
የኮስታ ሪካ እግር ኳስ ፌዴሬሽን	哥斯達黎加足球協會
ሞንቴቪዴዮ ዋንደረረስ	蒙得维的亚流浪者足球俱乐部
በቂና አስፈላጊ	充分必要条件
ጥቁር አባይ	青尼罗河
ኑር-አዳድ	努尔·阿达德
ኤንሊል-ባኒ	恩利尔·巴尼
ኤናናቱም	伊南那吐姆一世
ሰኸምካሬ 5 አመነምሃት	塞赫姆卡拉
የ2003 ዓ.ም. ፉኩሺማ አደጋ ውጤት	福島第一核電廠事故的輻射影響
ዛላሉቩ	佐洛勒弗
እርዳታ:ይዞታ	Help:目录
ፓርከር፥ አሪዞና	帕克 (亚利桑那州)
የቱኒዚያ እግር ኳስ ፌዴሬሽን	突尼斯足球總會
የካሜሩን እግር ኳስ ፌዴሬሽን	喀麥隆足球協會
ካሌብ	迦勒
ይሁዳዊ-ሮማንስ ቋንቋዎች	犹太-罗曼语支
ላ አልሙኒያ ዴ ዶኛ ጎዲና	拉尔穆尼亚德多尼亚戈迪纳
እንጀራ	英杰拉
የዑር ንጉሣዊ ጨዋታ	烏爾王族局戲
ሣባ (የአረቢያ ግዛት)	赛伯伊人
የእስክንድርያ ቤተክርስቲያን ፓትርያርኮች	亞歷山大科普特正教教宗列表
ታርዳሖስ	塔尔达霍斯
ቤናቬንቴ፣ ዛሞራ	贝纳文特
የኤሽኑና ሕግጋት	伊施嫩納法典
ቦዲቲ	博迪提
ሴት	赛特 (消歧义)
ቦንጋ	邦加
የደም ቧንቧ	血管
ችፌ	湿疹
ኤስቱዲያንቴስ ቴኮስ	特科斯大学生
ሁዋቺፓቶ ስፖርት ክለብ	瓦奇巴托体育俱乐部
ሶሂህ ቡሃሪ	布哈里聖訓
ሰናፌ	瑟納費
ሺንዠንግ	新郑市
የጓቴማላ ብሔራዊ እግር ኳስ ፌዴሬሽን	危地馬拉國家足球協會
የካናዳ እግር ኳስ ማህበር	加拿大足球協會
ሐረሪ ሕዝብ ክልል	哈勒爾州
ቦግዳ ፌንግ	博格达峰
ደብተር	練習簿
የኢራን እስላማዊ ሪፐብሊክ እግር ኳስ ፌዴሬሽን	伊朗足球協會
ፐንቻክ ጃያ	查亞峰
የአንጎላ እግር ኳስ ፌዴሬሽን	安哥拉足球協會
ርዎ ሽዌ	额济纳河
ናምቻ ባርዋ	南迦巴瓦峰
ካርቱም ኤርፖርት	喀土穆国际机场
ዳንኤል ሃንድለር	丹尼爾·韓德勒
ራንቢር ካፑር	兰比尔·卡普尔
የምዕራብ ንጉሥ እናት	西王母
ኡር-ናንሼ	乌尔南塞
የዥዎሉ ውግያ	涿鹿之戰
የተጠበሰ ዶሮ	炸雞
ቅድመ-ሴማዊ ጽሕፈት	青銅中期文化時期字母
ቆንጣጭ እርግጥ	夾擠定理
የማሊ እግር ኳስ ፌዴሬሽን	馬里足球協會
ሊፒት-እሽታር	里皮特·伊什塔
ዙር ግልባጭ	換質換位律
የፈጠራዎች ታሪክ	发明年表
ሲማሮን ወንዝ	锡马龙河
ክለብ ሳንድዊች	俱乐部三明治
ሻሰኖን	沙桑翁
ሳን ሉዊስ የእግር ኳስ ክለብ	圣路易斯足球俱乐部
ሰቆጣ	塞科塔
እንጅባራ	因吉巴拉
ወልቂጤ	韋爾基特
አጋሮ	阿加羅
ኮርያ	韩国 (消歧义)
ሊቨርፑል የእግር ኳስ ክለብ	利物浦足球俱乐部
ሊቨርፑል የእግር ኳስ ክለብ (ሞንቴቪድዮ)	利物浦足球俱乐部 (乌拉圭)
ኩሽ (የካም ልጅ)	古实人
ሎክ ዱክ	涇陽王
ቶሪ ደሴት	托里島
ሚዛናዊ ውጭ ስብስብ	对称差
ሻውሃው	少昊
ቺ ዮው	蚩尤
ጢኒስ	提尼斯
ታይ ካንግ	太康 (夏朝)
ጉን	鲧
አራም (ጥንታዊ አገር)	亞蘭 (地方)
የሜክሲኮ እግር ኳስ ፌዴሬሽን	墨西哥足球协会
ናኮር	拿鹤
ሴሮሕ	西鹿
የመርዌ ጽሕፈት	麥羅埃文
ማንግ	芒
ሤ	泄
የሩዋንዳ እግር ኳስ ፌዴሬሽን	盧旺達足球協會
ዦንግ ካንግ	中康
ሥያንግ	相 (夏朝)
ሻውካንግ	少康
ውክፔዲያ:ኤምባሲ	Wikipedia:大使館
ቡ ጅያንግ	不降
ኋይ	槐
ትርምስ	错排问题
ዲ ዥዕ	挚 (中国君王)
የካልኩለስ መሰረታዊ እርግጥ	微积分基本定理
Epagomenal	置閏
ሸሆኔ	有蹄類
ፖል ካጋሜ	保罗·卡加梅
አዲስ አበባ ዩኒቨርስቲ	亞的斯亞貝巴大學
መተማ	米提瑪
ላይ አፈር	表土
አምቦ	安波
ጉንጉኑም	冈古农
ቲሪጋን	梯雷根
የጎንግሄ እንደራሴነት	共和 (西周)
ክለብ ኔካክሳ	内卡哈俱乐部
ሱሙኤል	苏穆埃尔
የኮምፒዩተር አውታር	计算机网络
የኢትዮጵያ አየር መንገድ በረራ 961	埃塞俄比亞航空961號班機空難
ኡር-ዛባባ	乌尔扎巴巴
እስልምና ባህል	伊斯兰文化
ኤንሻኩሻና	恩沙库沙那
ዙር	逆命题
አልቫሮ ራፋኤል ጎንዛሌዝ	阿尔瓦罗·拉斐尔·冈萨雷斯
መደብ:ጀርመን	Category:德国
መደብ:ጣልያን	Category:意大利
መደብ:የአሜሪካ ተባባሪ ክፍላገሮች	Category:美国
መደብ:ሩስያ	Category:俄罗斯
መደብ:አውስትራልያ	Category:澳大利亚
መደብ:ሜክሲኮ	Category:墨西哥
መደብ:ሕንድ	Category:印度
መደብ:እስራኤል	Category:以色列
መደብ:ደቡባዊ አፍሪቃ	Category:南非
መደብ:ግብፅ	Category:埃及
መደብ:አርጀንቲና	Category:阿根廷
ቃል (ቃል መግባት)	责任
ሌዙ	嫘祖
ክሻትሪያ	刹帝利
አ ፖብራ ዴ ትሪቬስ	阿波夫拉德特里韦斯
መደብ:አልጄሪያ	Category:阿爾及利亞
መደብ:ኦስትሪያ	Category:奧地利
መደብ:ኢትዮጵያ	Category:衣索比亞
መደብ:ሆላንድ	Category:荷兰
መደብ:ናይጄሪያ	Category:奈及利亞
መደብ:ፖላንድ	Category:波蘭
መደብ:ፖርቱጋል	Category:葡萄牙
መደብ:ቬትናም	Category:越南
መደብ:አዕዋፍ	Category:鸟类
መደብ:አትክልት	Category:植物
መደብ:ሥነ ሕይወት	Category:生物学
መደብ:የጥንተ ንጥር ጥናት	Category:化学
መደብ:ታሪክ	Category:历史
መደብ:መልክዐ ምድር	Category:地理
መደብ:ሃይማኖት	Category:宗教
መደብ:ስፖርት	Category:体育
መደብ:ሳይንስ	Category:科学
መደብ:መሬት	Category:地球
የሰለሞን ደሴቶች እግር ኳስ ፌዴሬሽን	所罗门群岛足球协会
የ1934 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1934年世界盃足球賽
ሞናርካስ ሞሬሊያ	莫雷利亚君主竞技俱乐部
የኅልውና ድንጋጤ	畏
ሀበሻ	哈比沙人
ፍሬኄናል ዴ ላ ሲዬራ	夫雷赫纳尔德拉谢拉
ሜዲና ዴ ሪዮ ሴኮ	梅迪纳德里奥塞科
ከርቤ	没药属
ፋሌቅ	法勒
ሴሊሴስ	赛利塞斯
ሞንሬያል ዴ አሪዛ	蒙雷亚尔德亚里萨
ኦሶርኖ ላ ማዮር	奥索尔诺拉迈奥尔
ግሽጣ	刺果番荔枝
በር:ሳጥን ራስጌ	Template:Box-footer
የመዋቅር ትንታኔ	结构分析
ሊትጎ (ከተማ)	利斯戈
ኑግ	小油菊
ሉጋላንዳ	卢伽尔兰达
ሸንኖንግ በንጻው ጂንግ	神农本草经
የቶንጋ እግር ኳስ ማህበር	湯加足球協會
ሃን ዥዎ	寒浞
ሰሜን ተራራ	塞米恩山脈
የኢትዮጵያ መልክዐ ምድር	埃塞俄比亞地理
መደብ:መንታ መንገዶች	Category:消歧义
መደብ:ፍልስፍና	Category:哲学
መደብ:ክርስትና	Category:基督教
መደብ:እስልምና	Category:伊斯兰教
አደም	阿丹
ቱራስ	提拉斯
የኖህ ልጆች	挪亞眾子
ራግው	拉吴
የምድር በርበሬ	金鈕扣
መቅደላ	安巴馬利安
የአክሱም ሐውልት	阿克苏姆方尖碑
መስኪያጝካሸር	美什千加舍尔
ኢኩኑም	伊库努姆
ኤነታርዚ	恩嫩塔尔西
ፍኖተ ሰላም	費諾特塞蘭
ዝሆን	象科
መስኪአጝ-ኑና	美斯恰克南那
ሰንሰለት	滚子链
ወልደያ	沃爾迪亞
የዓለም ሀገራት ባንዲራዎች	國旗列表
ህዝብ	人民
1 ፑዙር-አሹር	普祖尔亚述一世
ዋራድ-ሲን	瓦拉德·辛
ሲሊ-አዳድ	西里·阿达德
ወልወል	瓦爾瓦爾
ሻሊም-አሁም	沙利姆-阿赫
2 ፑዙር-አሹር	普祖尔亚述二世
ሲን-ኢዲናም	辛·伊地那姆
ኢዲን-ዳጋን	伊丁·达干
ኡር-ኒኑርታ	乌尔·尼努尔塔
ሲን-ኢቂሻም	辛·伊凯沙姆
2 ኤሪሹም	伊里舒姆二世
ኡርዱኩጋ	乌尔杜库伽
እንጦጦ	恩托托山
እንኮይ	海檀木
ኋሥያ	华夏
ሌባ	偷竊
ጎርጎራ	戈爾戈拉
ልዑል	王爵
ካጌራ ወንዝ	卡蓋拉河
ሰመራ	塞梅拉
ሰሊጥ	芝麻
ኢተር-ፒሻ	伊泰尔·皮沙
ሲን-ማጊር	辛·玛吉尔
ደቡብ ወሎ ዞን	南沃洛地區
እንፍራዝ	恩法拉斯
ቡር-ሲን	布尔·辛
መደብ:መዋቅሮች	Category:小作品
መደብ:Wikipedia	Category:維基百科管理
መደብ:ባሕል ነክ መዋቅሮች	Category:文化小作品
መደብ:ባሕል	Category:文化
መደብ:ፈረንጅ አመቶች	Category:年
መደብ:አህጉር	Category:大洲
ሹ-ኢሊሹ	舒·伊里舒
ኤራ-ኢሚቲ	伊拉·伊米提
ሲን-ኤሪባም	辛·埃瑞巴姆
ያንዲ	炎帝
ምስራቅ ሀረርጌ ዞን	東哈勒爾蓋地區
የሞሮኮ የዘውድ እግር ኳስ ፌዴሬሽን	摩洛哥皇家足球協會
ዲሲ የሕዝብ ትምህርት ቤቶች	华府公立学校
ሲግቱና	錫格蒂納
ቀጨሞ	铁仔
ቱዲያ	图迪亚
የስያትል መንግስታዊ ትምህርት ቤቶች	西雅圖公立學校
ኣስያ ቢንት መህዙም	阿西叶
በር:መልክዐ ምድር	Portal:地理学
በር:ፍልስፍና	Portal:哲学
ቀንጠፋ	老虎刺属
ሞጣ	莫塔
ሶፍ-ዑመር	索夫奧馬爾岩洞
መደብ:Wikipedia bots	Category:維基百科機器人
ጥድፈት	速率
ጉና	古納山
ቤቴል	伯特利
በር:ባሕልናኪነት	Portal:艺术
መደብ:የጀርመን ሰዎች	Category:德国人
መደብ:የአሜሪካ ሰዎች	Category:美国人
መደብ:የኦስትሪያ ሰዎች	Category:奧地利人
መደብ:የፈረንሳይ ሰዎች	Category:法国人
መደብ:የአሜሪካ ፊልሞች	Category:美國電影作品
መደብ:የአሜሪካ ሙዚቀኞች	Category:美國音樂家
መደብ:ጉግል	Category:Google
መለጠፊያ:Location map Scotland	Template:Location map Scotland
መለጠፊያ:Location map እንግሊዝ	Template:Location map England
መደብ:ሕግ	Category:法学
መደብ:አገራት	Category:国家
ውክፔዲያ:መጋቢዎች	Wikipedia:管理员
መደብ:የኢትዮጵያ ብሔሮች	Category:埃塞俄比亚民族
መደብ:ሰዎች	Category:人物
ውክፔዲያ:Bots	Wikipedia:机器人
የስብስብ ብዛት	势 (数学)
ውክፔዲያ:ከሁሉ የተፈለጉ አርእስቶች	Wikipedia:基礎條目/第二級
መደብ:ሥነ አካል	Category:解剖学
መደብ:ሕክምና	Category:医学
መደብ:የፖለቲካ ጥናት	Category:政治
መደብ:ትምህርት	Category:教育
ግብፅ	埃及
ቡሩ	扶娄
መለጠፊያ:Bot	Template:Bot
ካናዳ	加拿大
መደብ:ግሪክ	Category:希腊
መደብ:ስዊድን	Category:瑞典
መደብ:ስሎቫኪያ	Category:斯洛伐克
መደብ:Wikipedia:Featured article	Category:特色条目
መደብ:የአውሮፓ አገራት	Category:欧洲国家
መደብ:አውሮፓ	Category:欧洲
መለጠፊያ:Documentation	Template:Documentation
መደብ:Translation requests	Category:翻譯請求
ውክፔዲያ:Resolving disputes	Wikipedia:争论的解决
መደብ:የአባሎች ልሳናት	Category:用户语言
ሰውንግ ጀ-ጊ	成在基
አመድ በር	阿梅德貝爾
ነጭ አባይ	白尼罗河
በር:ኢንጂኔሪንግ	Portal:技術
መለጠፊያ:Softredirect	Template:軟重定向
መለጠፊያ:ለማጥፋት	Template:Delete
መደብ:ቋንቋዎች	Category:语言
መደብ:የሚሰጥ ስሞች	Category:名
እርዳታ:Starting a new page	Help:创建新条目
መደብ:Noindexed pages	Category:不可索引页面
መደብ:የማይኖሩ ፋይሎች ያሉባቸው ገጾች	Category:缺少文件的页面
ውክፔዲያ:ክፍለ-ዊኪዎች	Wikipedia:名字空间
ሲ.አር. ቫስኮ ደ ጋማ	華斯高足球會
መለጠፊያ:Navbox	Template:Navbox
ቀረፃ	錄音
የኦርኾን ጽሕፈት	突厥文
ቼሪ ክሪክ የትምህርት ድስትሪክት	櫻桃溪學區
ዳንሽዌ	丹江
ዳንዡ	丹朱
መተሬ	星粟草
ደምበጫ	登貝沙
መለጠፊያ:Tnavbar	Template:Navbar
መለጠፊያ:Clear	Template:Clear
መለጠፊያ:Col-break	Template:Col-break
መለጠፊያ:Col-begin	Template:Col-begin
መለጠፊያ:Col-end	Template:Col-end
መደብ:አፍሪቃ	Category:非洲
መደብ:መጽሐፍ ቅዱስ	Category:圣经
መለጠፊያ:Babel	Template:Babel
መለጠፊያ:Commons	Template:Commons
መለጠፊያ:Link GA	Template:Link GA
መለጠፊያ:Reflist	Template:Reflist
የተጠበሰ ዓሣ	炸魚
ውክፔዲያ:Searching	Help:搜索
መለጠፊያ:መዋቅር	Template:Stub
መለጠፊያ:User af-1	Template:User af-1
መለጠፊያ:User ar-1	Template:User ar-1
መለጠፊያ:User az	Template:User az
መለጠፊያ:User eo-1	Template:User eo-1
መለጠፊያ:See also	Template:See also
መለጠፊያ:User da-2	Template:User da-2
መለጠፊያ:User da	Template:User da
መለጠፊያ:User ca-1	Template:User ca-1
መለጠፊያ:User da-1	Template:User da-1
መለጠፊያ:User eo-3	Template:User eo-3
መለጠፊያ:User de	Template:User de
መለጠፊያ:User de-1	Template:User de-1
መለጠፊያ:User et-1	Template:User et-1
መለጠፊያ:User el	Template:User el
መለጠፊያ:User es	Template:User es
መለጠፊያ:User de-3	Template:User de-3
መለጠፊያ:User en-3	Template:User en-3
መለጠፊያ:User el-1	Template:User el-1
መለጠፊያ:User en-1	Template:User en-1
መለጠፊያ:User en-2	Template:User en-2
መለጠፊያ:User eo-2	Template:User eo-2
መለጠፊያ:User en-4	Template:User en-4
መለጠፊያ:User fi	Template:User fi
መለጠፊያ:User en-0	Template:User en-0
መለጠፊያ:User es-4	Template:User es-4
መለጠፊያ:User en	Template:User en
መለጠፊያ:User de-2	Template:User de-2
መለጠፊያ:User es-1	Template:User es-1
መለጠፊያ:User fa	Template:User fa
መለጠፊያ:User fr-1	Template:User fr-1
መለጠፊያ:User grc-1	Template:User grc-1
መለጠፊያ:User ja-4	Template:User ja-4
መለጠፊያ:User sk	Template:User sk
መለጠፊያ:User fr-2	Template:User fr-2
መለጠፊያ:User tr	Template:User tr
መለጠፊያ:User ja	Template:User ja
መለጠፊያ:User ja-1	Template:User ja-1
መለጠፊያ:User it-1	Template:User it-1
መለጠፊያ:User fr	Template:User fr
መለጠፊያ:User he	Template:User he
መለጠፊያ:Country data ታጂኪስታን	Template:Country data Tajikistan
መደብ:እስያ	Category:亚洲
መደብ:ቺሌ	Category:智利
መደብ:User uk	Category:Uk 使用者
መደብ:ደቡብ አሜሪካ	Category:南美洲
መደብ:User uk-N	Category:Uk 母語使用者
መደብ:እግር ኳስ	Category:足球
መለጠፊያ:Country data ኩዌት	Template:Country data Kuwait
መለጠፊያ:Mod	Template:Mod
መለጠፊያ:NowCommons	Template:NowCommons
መለጠፊያ:User sv	Template:User sv
መለጠፊያ:User it	Template:User it
መለጠፊያ:User uk	Template:User uk
መለጠፊያ:User es-2	Template:User es-2
መለጠፊያ:ሰላምታ	Template:Welcome
መለጠፊያ:Wikipediasister	Template:Wikipediasister
መለጠፊያ:Country data ቤልጅግ	Template:Country data Belgium
መደብ:ጨረቃ	Category:月球
መለጠፊያ:Country data ስሎቫኪያ	Template:Country data Slovakia
መለጠፊያ:Country data ኤል ሳልቫዶር	Template:Country data El Salvador
መለጠፊያ:Country data ፓናማ	Template:Country data Panama
መለጠፊያ:Country data ኢትዮጵያ	Template:Country data Ethiopia
መለጠፊያ:Country data ቱኒዚያ	Template:Country data Tunisia
መለጠፊያ:Country data ቼክ ሪፐብሊክ	Template:Country data Czech Republic
መለጠፊያ:Country data ታይላንድ	Template:Country data Thailand
መለጠፊያ:Country data ኩባ	Template:Country data Cuba
መለጠፊያ:Country data ኢንዶኔዥያ	Template:Country data Indonesia
መለጠፊያ:Country data ካምቦዲያ	Template:Country data Cambodia
መለጠፊያ:Country data ሴኔጋል	Template:Country data Senegal
መለጠፊያ:Country data ማዳጋስካር	Template:Country data Madagascar
መለጠፊያ:Country data አልባኒያ	Template:Country data Albania
መለጠፊያ:Country data ፔሩ	Template:Country data Peru
መለጠፊያ:Country data ፓራጓይ	Template:Country data Paraguay
መለጠፊያ:Country data ማካው	Template:Country data Macau
መለጠፊያ:Country data ኬንያ	Template:Country data Kenya
መለጠፊያ:Country data ሳን ማሪኖ	Template:Country data San Marino
መለጠፊያ:Country data የቻይና ሪፐብሊክ	Template:Country data Republic of China
