អាហ្វ្រិក	非洲
ទំព័រគំរូ:Geographic location	Template:Geographic Location
ទំព័រគំរូ:Prose	Template:Prose
ទំព័រគំរូ:Infobox musical artist	Template:Infobox musical artist
ទំព័រគំរូ:Finance	Template:金融
ទំព័រគំរូ:ទិន្នន័យប្រទេស Serbia	Template:Country data Serbia
ទំព័រគំរូ:Collapsible list	Template:Collapsible list
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអូស្រ្តាលី	Template:Country data Australia
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប៉ាឡេស្ទីន	Template:PSE
ទំព័រគំរូ:Subatomic particle	Template:次原子粒子
ទំព័រគំរូ:Sidebar	Template:Sidebar
ទំព័រគំរូ:In use	Template:Inuse
ទំព័រគំរូ:Es icon	Template:Es icon
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសបារាំង	Template:Country data France
ទំព័រគំរូ:Ambox	Template:Ambox
ទំព័រគំរូ:Update	Template:更新
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន មន្ទីរពេទ្យ	Template:Infobox Hospital
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ទស្សនាវដ្ដី	Template:Infobox Magazine
ទំព័រគំរូ:Image requested	Template:Reqimage
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភ្លេងជាតិ	Template:Infobox Anthem
ទំព័រគំរូ:Navigation templates	Template:Navigational templates
ទំព័រគំរូ:Very long	Template:冗长
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសគាហ្គីស្ថាន	Template:KGZ
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សាលារៀន	Template:Infobox School
ទំព័រគំរូ:Fossil range/bar	Template:Fossil range/bar
ទំព័រគំរូ:Userboxbottom	Template:Userboxbottom
ទំព័រគំរូ:Copy to Wikimedia Commons	Template:Copy to Wikimedia Commons
ទំព័រគំរូ:Rnd	Template:Rnd
ទំព័រគំរូ:ចំណាត់ថ្នាក់ក្រុមនៃទំព័រគំរូ	Template:Template category
ទំព័រគំរូ:Font color	Template:Fontcolor
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ប្រទេស	Template:國家基礎資訊
ទំព័រគំរូ:Max	Template:Max
ទំព័រគំរូ:Infobox software	Template:Infobox software
ទំព័រគំរូ:Column-count	Template:Column-count
ទំព័រគំរូ:Commons&cat	Template:Commons and category
ទំព័រគំរូ:ទិន្នន័យប្រទេស ឡាវ	Template:Country data Laos
ទំព័រគំរូ:Infobox airline	Template:Infobox Airline
ទំព័រគំរូ:Wide image	Template:Wide image
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអូទ្រីស	Template:Country data Austria
ទំព័រគំរូ:Collapsible option	Template:Collapsible option
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ជម្លោះយោធា	Template:Infobox Military Conflict
វិគីភីឌា:សំណួរ	Wikipedia:問題
ទំព័រគំរូ:Redirect4	Template:Str left
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសនេប៉ាល់	Template:Country data Nepal
ទំព័រគំរូ:Pagelist	Template:Pagelist
ទំព័រគំរូ:Px	Template:Px
ទំព័រគំរូ:Resolved	Template:完成
ទំព័រគំរូ:Str sub long	Template:Str sub old
ទំព័រគំរូ:Documentation/docname	Template:Documentation/docname
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហ្វាំងឡង់	Template:Country data Finland
ទំព័រគំរូ:Selfref	Template:Selfref
ទំព័រគំរូ:Flatlist	Template:Flatlist
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសហ្វីលីពីន	Template:PHL
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអេស៊ីប	Template:Country data Egypt
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសលីថូនី	Template:Country data Lithuania
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន គណបក្សនយោបាយ	Template:Infobox Political Party
ទំព័រគំរូ:Used in system	Template:Used in system
ទំព័រគំរូ:ទិន្នន័យប្រទេស ជប៉ុន	Template:Country data Japan
ទំព័រគំរូ:Expand section	Template:Expand section
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហូឡង់	Template:Country data Netherlands
ទំព័រគំរូ:Tmbox	Template:Tmbox
ទំព័រគំរូ:Navbox with columns	Template:Navbox with columns
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ល្បែងវីដេអូ	Template:Infobox VG
ទំព័រគំរូ:S-start	Template:Start
ទំព័រគំរូ:Age in years and days	Template:Age in years and days
ទំព័រគំរូ:Nom	Template:Nom
ទំព័រគំរូ:Facebook	Template:Facebook
ទំព័រគំរូ:Cleanup	Template:Cleanup
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សាកលវិទ្យាល័យ	Template:Infobox university
ទំព័រគំរូ:Cite journal	Template:Cite journal
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាស៊ែបៃហ្សង់	Template:Country data Azerbaijan
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប្រ៊ុយណេ	Template:BRN
ទំព័រគំរូ:វិគីសៀវភៅ	Template:Wikibooks
ទំព័រគំរូ:Hatnote	Template:Dablink
ទំព័រគំរូ:User browser:Firefox	Template:User Firefox
ទំព័រគំរូ:Xpd	Template:Xpd
ទំព័រគំរូ:User es-0	Template:User es-0
ទំព័រគំរូ:Time ago	Template:Time to
ទំព័រគំរូ:Familytree	Template:Familytree
ទំព័រគំរូ:ទិន្នន័យប្រទេស វៀតណាម	Template:Country data Vietnam
ទំព័រគំរូ:Redirect3	Template:Redirect3
ទំព័រគំរូ:S-aft	Template:S-after
ទំព័រគំរូ:Featured article	Template:Featured article
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសរុស្ស៊ី	Template:Country data Russia
ទំព័រគំរូ:Infobox monarch	Template:Infobox Monarch
ទំព័រគំរូ:Decdeg	Template:Decdeg
ចំណាត់ថ្នាក់ក្រុម:User en-4	Category:En-4 使用者
ចំណាត់ថ្នាក់ក្រុម:User en	Category:En 使用者
ទំព័រគំរូ:Ordinal	Template:Ordinal
ចំណាត់ថ្នាក់ក្រុម:User zh	Category:Zh 使用者
ចំណាត់ថ្នាក់ក្រុម:User zh-N	Category:Zh 母语使用者
ចំណាត់ថ្នាក់ក្រុម:User en-2	Category:En-2 使用者
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន	Template:Infobox
ទំព័រគំរូ:Infobox instrument	Template:Infobox instrument
ទំព័រគំរូ:TOC right	Template:TOCright
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ប្រាសាទ	Template:Infobox Mandir
ទំព័រគំរូ:Main other	Template:Main other
ទំព័រគំរូ:RankedMedalTable	Template:RankedMedalTable
ទំព័រគំរូ:User zh	Template:User zh
ទំព័រគំរូ:Lang-kk	Template:Lang-kk
ទំព័រគំរូ:Documentation/start box	Template:Documentation/start box
ទំព័រគំរូ:Documentation/end box2	Template:Documentation/end box2
ទំព័រគំរូ:Documentation/start box2	Template:Documentation/start box2
ទំព័រគំរូ:Template other	Template:Template other
ទំព័រគំរូ:Legend	Template:Legend
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន បណ្ណាល័យ	Template:Infobox Library
ទំព័រគំរូ:Cite web	Template:Cite web
ទំព័រគំរូ:YouTube	Template:Youtube
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអ៊ីតាលី	Template:Country data Italy
ទំព័រគំរូ:Current	Template:Current
ទំព័រគំរូ:Ombox	Template:Ombox
ទំព័រគំរូ:ទិន្នន័យប្រទេស	Template:Country data
ទំព័រគំរូ:Wikipedia-screenshot	Template:Wikipedia-screenshot
ទំព័រគំរូ:Won	Template:Award-won
ទំព័រគំរូ:Tnavbar-collapsible	Template:Tnavbar-collapsible
ទំព័រគំរូ:Coor URL	Template:MapsServer
ទំព័រគំរូ:Pp-template	Template:Pp-template
ទំព័រគំរូ:Min	Template:Min
ទំព័រគំរូ:Wiktionary	Template:Wiktionary
ទំព័រគំរូ:Mbox templates	Template:Mbox templates
ទំព័រគំរូ:Multi-listen start	Template:Multi-listen start
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសស៊ុយអែត	Template:Country data Sweden
ទំព័រគំរូ:Bar box	Template:Bar box
ទំព័រគំរូ:Chem	Template:Chem
ទំព័រគំរូ:Language icon	Template:Language icon
ទំព័រគំរូ:Lang-sr	Template:Lang-sr
ទំព័រគំរូ:Infobox settlement	Template:Infobox Settlement
ទំព័រគំរូ:User ru	Template:User ru
ទំព័រគំរូ:Admin	Template:管理员用户
ទំព័រគំរូ:IPA	Template:IPA
ទំព័រគំរូ:អត្ថន័យដទៃទៀត	Template:Otheruses
ទំព័រគំរូ:ទិន្នន័យប្រទេស សហភាពសូវៀត	Template:Country data Soviet Union
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសឥណ្ឌា	Template:Country data India
ទំព័រគំរូ:Language with name	Template:LangWithName
ទំព័រគំរូ:Imbox	Template:Imbox
ទំព័រគំរូ:Rellink	Template:Rellink
ទំព័រគំរូ:Navbox subgroup	Template:Navbox subgroup
ទំព័រគំរូ:Non-free use rationale	Template:Non-free use rationale
ទំព័រគំរូ:Birth year and age	Template:Birth date and age
ទំព័រគំរូ:List of African capitals	Template:非洲首都
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ក្រុមជនជាតិ	Template:Infobox Ethnic group
ទំព័រគំរូ:Archive box	Template:Archive box
ទំព័រគំរូ:MONTHNAME	Template:MONTHNAME
វិគីភីឌា:Text of GNU Free Documentation License	Wikipedia:GNU自由文档许可证文本
ទំព័រគំរូ:Commons category-inline	Template:Commons category-inline
ទំព័រគំរូ:រង្វាន់ណូបែល	Template:NobelPrizes
ទំព័រគំរូ:Sisterlinks	Template:Sister project links
ទំព័រគំរូ:ទិន្នន័យប្រទេស អង់ដូរ៉ា	Template:Country data Andorra
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន តំបន់ការពារ	Template:Infobox Protected area
ទំព័រគំរូ:Border	Template:Border
ទំព័រគំរូ:ទិន្នន័យប្រទេស ព័រទុយហ្គាល់	Template:Country data Portugal
ទំព័រគំរូ:Death date and age	Template:Death date and age
ទំព័រគំរូ:MONTHNUMBER	Template:MONTHNUMBER
ចំណាត់ថ្នាក់ក្រុម:People stubs	Category:人物小作品
ទំព័រគំរូ:ទិន្នន័យប្រទេស បុរីវ៉ាទីកង់	Template:Country data Vatican City
ទំព័រគំរូ:Top icon	Template:Topicon
ទំព័រគំរូ:Icon	Template:Icon
ចំណាត់ថ្នាក់ក្រុម:Template:Country data templates	Category:国家资料模板
ទំព័រគំរូ:Birth category header	Template:出生年
ទំព័រគំរូ:Namespace detect	Template:Namespace detect
ចំណាត់ថ្នាក់ក្រុម:ជ័យលាភីរង្វាន់ណូបែល ផ្នែករូបវិទ្យា	Category:诺贝尔物理学奖获得者
ចំណាត់ថ្នាក់ក្រុម:ជ័យលាភីរង្វាន់ណូបែល ផ្នែកគីមីវិទ្យា	Category:诺贝尔化学奖获得者
ទំព័រគំរូ:Fmbox	Template:Fmbox
ទំព័រគំរូ:Navbox with collapsible groups	Template:Navbox with collapsible groups
ទំព័រគំរូ:GeoGroup	Template:GeoGroup
ទំព័រគំរូ:ទិន្នន័យប្រទេស ចិន	Template:Country data China
ទំព័រគំរូ:Wikify	Template:Wikify
ទំព័រគំរូ:ទិន្នន័យ នៃ ប្រទេស អង់គ្លេស	Template:Country data England
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអៀរឡង់	Template:Country data Republic of Ireland
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសទួរគី	Template:Country data Turkey
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសស្វីស	Template:Country data Switzerland
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហ្វីលីពីន	Template:Country data Philippines
ទំព័រគំរូ:Hidden begin	Template:Hidden begin
ទំព័រគំរូ:ParmPart	Template:ParmPart
ទំព័រគំរូ:Army	Template:Army
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ាឡេស៊ី	Template:Country data Malaysia
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាមេនី	Template:Country data Armenia
ទំព័រគំរូ:Infobox OS	Template:Infobox OS
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសតៃវ៉ាន់	Template:Country data Taiwan
ទំព័រគំរូ:ទិន្នន័យប្រទេស វៀតណាមខាងត្បូង	Template:Country data South Vietnam
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសភូមា	Template:Country data Myanmar
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសឈីលី	Template:Country data Chile
ទំព័រគំរូ:The Original Barnstar	Template:原星章
ទំព័រគំរូ:ទិន្នន័យប្រទេស លីបង់	Template:Country data Lebanon
ទំព័រគំរូ:ទិន្នន័យប្រទេស ចិនតៃប៉ិ	Template:Country data Chinese Taipei
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សៀវភៅ	Template:Infobox Book
ទំព័រគំរូ:Tlc	Template:Tlc
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភព	Template:Infobox Planet
ទំព័រគំរូ:Compact periodic table	Template:元素週期表
ទំព័រគំរូ:Lang-fa	Template:Lang-fa
ទំព័រគំរូ:ICD10	Template:ICD10
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសម៉ាឡេស៊ី	Template:MYS
ទំព័រគំរូ:Infobox website	Template:Infobox Website
ទំព័រគំរូ:Globalize	Template:Globalize
ទំព័រគំរូ:Image label end	Template:Image label end
ទំព័រគំរូ:Navboxes	Template:Navboxes
ទំព័រគំរូ:Documentation subpage	Template:Documentation subpage
ទំព័រគំរូ:Uncategorized	Template:Uncategorized
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសឥណ្ឌូនេស៊ី	Template:IDN
ទំព័រគំរូ:Talk header for guidelines	Template:Talkheader
ទំព័រគំរូ:Quote box	Template:Quote box
ទំព័រគំរូ:Navbox years	Template:NavboxYears
ទំព័រគំរូ:CcTLD	Template:CcTLD
ទំព័រគំរូ:Cc-by-2.0	Template:CC-BY-2.0
ទំព័រគំរូ:Lang-my-fonts	Template:Lang-my-Mymr
ទំព័រគំរូ:Oldid	Template:Oldid
ទំព័រគំរូ:Rtl-lang	Template:Rtl-lang
ទំព័រគំរូ:List of Asian capitals by region	Template:亞洲首都
ទំព័រគំរូ:ប្រអប់ព័ត៌មានទីកន្លែងកេរដំណែលពិភពលោក	Template:世界遗产概要表
ទំព័រគំរូ:Str len	Template:Str len
ទំព័រគំរូ:Purge	Template:Purge
ទំព័រគំរូ:Lang-de	Template:Lang-de
ទំព័រគំរូ:Empty category	Template:Empty category
ទំព័រគំរូ:Ifempty	Template:Ifempty
ទំព័រគំរូ:Pre2	Template:Pre2
ទំព័រគំរូ:Lang-la	Template:Lang-la
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន អាគារ	Template:Infobox building
ទំព័រគំរូ:'	Template:'
ទំព័រគំរូ:Location map USA	Template:Location map USA
ទំព័រគំរូ:Lang-el	Template:Lang-el
ទំព័រគំរូ:Chessgames player	Template:Chessgames player
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសអារ៉ាប៊ីសាអូឌីត	Template:KSA
ទំព័រគំរូ:User page	Template:Userpage
ទំព័រគំរូ:DE	Template:DEU
ទំព័រគំរូ:Lang-my	Template:Lang-my
ទំព័រគំរូ:Stack	Template:Imagestack
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ព្រះវិហារគ្រិស្ដសាសនា	Template:Infobox church
ទំព័រគំរូ:Infobox Christian leader	Template:Infobox Christian leader
ទំព័រគំរូ:User	Template:User
ទំព័រគំរូ:Spoken Wikipedia	Template:Spoken Wikipedia
ទំព័រគំរូ:University-stub	Template:Elem-stub
ទំព័រគំរូ:វិគីភីឌាភាសា	Template:Wikipedia editions
ទំព័រគំរូ:Clarify	Template:Clarify
ទំព័រគំរូ:Refimprove	Template:Unreferenced
ទំព័រគំរូ:Lorem ipsum	Template:Lorem ipsum original
ទំព័រគំរូ:ស្នើសុំប្ដូរឈ្មោះ	Template:Usurp
ទំព័រគំរូ:CIA World Factbook link	Template:CIA World Factbook link
ទំព័រគំរូ:Image label small	Template:Image label small
ទំព័រគំរូ:Nihongo	Template:Nihongo
ទំព័រគំរូ:User fr-3	Template:User fr-3
ទំព័រគំរូ:PD-because	Template:PD-because
ទំព័រគំរូ:Th icon	Template:Th icon
ទំព័រគំរូ:Cc-by	Template:CC-BY-1.0
ទំព័រគំរូ:Failed verification	Template:Failed verification
ទំព័រគំរូ:Tag	Template:Tag
ទំព័រគំរូ:Sec link auto	Template:Sec link auto
ទំព័រគំរូ:Pp-meta	Template:Pp-meta
ទំព័រគំរូ:Notelist	Template:Notelist
ទំព័រគំរូ:S-ttl	Template:S-title
ទំព័រគំរូ:Infobox former country	Template:Infobox Former Country
ទំព័រគំរូ:IPA-en	Template:IPA-en
ទំព័រគំរូ:JPN	Template:JPN
ទំព័រគំរូ:ភូមិភាគទាំង៩របស់ជប៉ុន	Template:日本一级行政区
ទំព័រគំរូ:Merge from	Template:Mergefrom
ទំព័រគំរូ:Cmbox	Template:Cmbox
ទំព័រគំរូ:ASIN	Template:ASIN
ជំនួយ:តារាង	Help:表格
ទំព័រគំរូ:Precision	Template:Precision
ទំព័រគំរូ:User wikipedia/Checkuser	Template:User wikipedia/Checkuser
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប៉ាគីស្ថាន	Template:PAK
ទំព័រគំរូ:Age in days nts	Template:Age in days
ទំព័រគំរូ:S-bef	Template:S-before
ទំព័រគំរូ:Nations at the 2008 Summer Olympics	Template:NOCin2008SummerOlympics
ទំព័រគំរូ:Guideline	Template:Guideline
ទំព័រគំរូ:JULIANDAY	Template:JULIANDAY
ទំព័រគំរូ:Xpd3	Template:Xpd3
ទំព័រគំរូ:Mbox	Template:Mbox
ទំព័រគំរូ:Disagree	Template:Oppose
ទំព័រគំរូ:DNB portal	Template:DNB-Portal
ទំព័រគំរូ:Talkarchive	Template:Talkarchive
ទំព័រគំរូ:Lt	Template:Lt icon
ទំព័រគំរូ:Pagetype	Template:Pagetype
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសអ៊ីរ៉ង់	Template:IRN
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសហ្សកដង់	Template:JOR
ទំព័រគំរូ:Bibleverse	Template:Bibleverse
ទំព័រគំរូ:Infobox historical event	Template:Infobox historical event
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសហុងកុង	Template:HKG
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសកូរ៉េខាងជើង	Template:PRK
ទំព័រគំរូ:Infobox continent	Template:Infobox Continent
ទំព័រគំរូ:Date	Template:Date
ទំព័រគំរូ:BHU	Template:BTN
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសសិង្ហបុរី	Template:SGP
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសឥណ្ឌា	Template:IND
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសម៉ាកាវ	Template:MAC
ទំព័រគំរូ:សបា្ដហ៍	Template:星期中的日子
ទំព័រគំរូ:To do	Template:To do
ទំព័រគំរូ:CURRENTJULIANDAY	Template:CURRENTJULIANDAY
ទំព័រគំរូ:Nobold	Template:Nobold
ចំណាត់ថ្នាក់ក្រុម:User ja-N	Category:Ja 母语使用者
ទំព័រគំរូ:Largest cities	Template:Largest cities
ទំព័រគំរូ:PDFlink	Template:PDFlink
ទំព័រគំរូ:Ca icon	Template:Ca icon
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអាល្លឺម៉ងខាងកើត	Template:Country data West Germany
ទំព័រគំរូ:Region history	Template:Region history
ទំព័រគំរូ:Lang-ru	Template:Lang-ru
វិគីភីឌា:Welcoming committee	Wikipedia:小天使工作小組
ទំព័រគំរូ:Br separated entries	Template:Br separated entries
ទំព័រគំរូ:Infobox saint	Template:Infobox Saint
ទំព័រគំរូ:URL	Template:URL
ទំព័រគំរូ:Hidden end	Template:Hidden end
ទំព័រគំរូ:ណែនាំ	Template:Disambig
ទំព័រគំរូ:Tlsp	Template:Tlsp
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហុងកុង	Template:Country data Hong Kong
ទំព័រគំរូ:DEFAULTSORT	Template:DEFAULTSORT
ទំព័រគំរូ:Copy to Wiktionary	Template:移动到维基词典
ទំព័រគំរូ:No	Template:未完成
ទំព័រគំរូ:Tick	Template:Tick
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូ ប្រអប់ព័ត៌មាន	Category:信息框模板
ចំណាត់ថ្នាក់ក្រុម:Lists of flags	Category:旗幟列表
ទំព័រគំរូ:ទិន្នន័យប្រទេស Nazi Germany	Template:Country data Nazi Germany
ទំព័រគំរូ:Select skin	Template:Select skin
ទំព័រគំរូ:Plainlist	Template:Plainlist
ចំណាត់ថ្នាក់ក្រុម:ហិរញ្ញវត្ថុសាធារណៈ	Category:財政
ទំព័រគំរូ:Divbox	Template:Divbox
ចំណាត់ថ្នាក់ក្រុម:អ្នកថតរូប	Category:摄影
ទំព័រគំរូ:Para	Template:Para
ទំព័រគំរូ:Partial	Template:Partial
ចំណាត់ថ្នាក់ក្រុម:យន្តហោះយោធា	Category:军用飞机
ទំព័រគំរូ:Legend inline	Template:Legend inline
ទំព័រគំរូ:Death year and age	Template:Death year and age
ទំព័រគំរូ:LAO	Template:LAO
ទំព័រគំរូ:User zh-min-nan	Template:User nan
ទំព័រគំរូ:User zh-min-nan-1	Template:User nan-1
ទំព័រគំរូ:GRC	Template:GRC
ទំព័រគំរូ:PRT	Template:PRT
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសបង់ក្លាដែស្ស	Template:BGD
ទំព័រគំរូ:States of Austria	Template:Austrian States
ទំព័រគំរូ:Order of magnitude	Template:Order of magnitude
ទំព័រគំរូ:Category see also	Template:Category see also
ទំព័រគំរូ:Tlf	Template:Tlf
ទំព័រគំរូ:For	Template:For
ទំព័រគំរូ:Ifsubst	Template:Ifsubst
ទំព័រគំរូ:X mark-n	Template:X mark-n
ទំព័រគំរូ:Check mark-n	Template:Check mark-n
ទំព័រគំរូ:Sec link image	Template:Sec link image
ទំព័រគំរូ:Lower	Template:Lower
ទំព័រគំរូ:Voidd	Template:Voidd
ទំព័រគំរូ:Flag template documentation	Template:Flag template documentation
ទំព័រគំរូ:Backlog	Template:Backlog
ទំព័រគំរូ:Osmrelation	Template:Osmrelation-inline
ទំព័រគំរូ:Science	Template:Science
ចំណាត់ថ្នាក់ក្រុម:អង្គការមិនរកប្រាក់កំរៃ	Category:非营利组织
ទំព័រគំរូ:High-risk	Template:High-risk
ទំព័រគំរូ:Lang-uk	Template:Lang-uk
ទំព័រគំរូ:KHM	Template:KHM
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន អង្គការ	Template:Infobox Organization
ទំព័រគំរូ:MNE	Template:MNE
ទំព័រគំរូ:Category TOC	Template:CategoryTOC
ទំព័រគំរូ:Resize	Template:Resize
ទំព័រគំរូ:IPA-fr	Template:IPA-fr
ទំព័រគំរូ:Fix	Template:Fix
ទំព័រគំរូ:Lang-nl	Template:Lang-nl
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសមីយ៉ាន់ម៉ា	Template:MMR
ទំព័រគំរូ:Lang-id	Template:Lang-id
ទំព័រគំរូ:GSE	Template:GSEn
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសកូរ៉េខាងត្បូង	Template:KOR
ទំព័រគំរូ:Tn	Template:Tn
ចំណាត់ថ្នាក់ក្រុម:User gsw-1	Category:Gsw-1 使用者
ទំព័រគំរូ:ទិន្នន័យប្រទេស កាតារ	Template:Country data Qatar
ទំព័រគំរូ:User it-2	Template:User it-2
ទំព័រគំរូ:Val	Template:Val
ទំព័រគំរូ:Lang-fr	Template:Lang-fr
ទំព័រគំរូ:មេកានិចក្លាស់សិច	Template:經典力學
ទំព័រគំរូ:Superimpose	Template:Superimpose
ទំព័រគំរូ:FRA	Template:FRA
ទំព័រគំរូ:Age	Template:Age
ទំព័រគំរូ:Wrap	Template:Wrap
ទំព័រគំរូ:Hang on	Template:Hangon
ទំព័រគំរូ:Flagicon image	Template:Flagicon image
ទំព័រគំរូ:Pending	Template:Pending
ទំព័រគំរូ:Infobox person	Template:Infobox person
ទំព័រគំរូ:?	Template:?
ទំព័រគំរូ:Concat	Template:Concat
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអ៊ីស្រាអែល	Template:Country data Israel
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសសាធារណរដ្ឋប្រជាមានិតចិន	Template:Country data People's Republic of China
ទំព័រគំរូ:Number table sorting	Template:Nts
ទំព័រគំរូ:List of European capitals by region	Template:歐洲各國及其首都
ទំព័រគំរូ:ទិន្នន័យប្រទេស កូឡុំប៊ី	Template:Country data Colombia
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសប៉ាគីស្ថាន	Template:Country data Pakistan
ទំព័រគំរូ:ទិន្នន័យប្រទេស Ghana	Template:Country data Ghana
ទំព័រគំរូ:ទិន្នន័យប្រទេស កូរ៉េខាងត្បូង	Template:Country data South Korea
ទំព័រគំរូ:CIA World Factbook	Template:CIA World Factbook
ចំណាត់ថ្នាក់ក្រុម:ព្រះមហាក្សត្រខ្មែរ	Category:柬埔寨君主
ទំព័រគំរូ:Election table	Template:Electiontable
ទំព័រគំរូ:World Trade Organization	Template:世界貿易組織
ទំព័រគំរូ:Coord	Template:Coord
ទំព័រគំរូ:POV	Template:POV
ទំព័រគំរូ:Citation/make link	Template:Citation/make link
ចំណាត់ថ្នាក់ក្រុម:20th-century births	Category:20世纪出生
ទំព័រគំរូ:Dmoz	Template:Dmoz
ចំណាត់ថ្នាក់ក្រុម:ពហុកោណ	Category:多邊形
ទំព័រគំរូ:Fide	Template:Fide
ទំព័រគំរូ:User lb-1	Template:User lb-1
ទំព័រគំរូ:Dated maintenance category	Template:Dated maintenance category
ទំព័រគំរូ:User fr-4	Template:User fr-4
ទំព័រគំរូ:អាស៊ីហ្គេម	Template:亞洲運動會
ទំព័រគំរូ:User la-1	Template:User la-1
ទំព័រគំរូ:ហិរញ្ញវត្ថុសាធារណៈ	Template:公共财政
ទំព័រគំរូ:ទិន្នន័យប្រទេស បារ៉ែន	Template:Country data Bahrain
ទំព័រគំរូ:ព្រះពុទ្ធសាសនា	Template:佛教
ទំព័រគំរូ:Biology-stub	Template:Biology-stub
ទំព័រគំរូ:អេឡិចត្រូម៉ាញ៉េទិច	Template:电磁学
ចំណាត់ថ្នាក់ក្រុម:ឯកសារអំពី ទំព័រគំរូ	Category:模板說明文件
ចំណាត់ថ្នាក់ក្រុម:អត្ថបទខ្លីមិនពេញលេញ អំពីកម្ពុជា	Category:柬埔寨小作品
ចំណាត់ថ្នាក់ក្រុម:User pdc	Category:Pdc 使用者
ចំណាត់ថ្នាក់ក្រុម:User et	Category:Et 使用者
ចំណាត់ថ្នាក់ក្រុម:User fr	Category:Fr 使用者
ចំណាត់ថ្នាក់ក្រុម:User id	Category:Id 使用者
ចំណាត់ថ្នាក់ក្រុម:User ja	Category:Ja 使用者
ចំណាត់ថ្នាក់ក្រុម:User km	Category:Km 使用者
ចំណាត់ថ្នាក់ក្រុម:User la	Category:La 使用者
ចំណាត់ថ្នាក់ក្រុម:User li	Category:Li 使用者
ចំណាត់ថ្នាក់ក្រុម:User sv	Category:Sv 使用者
ចំណាត់ថ្នាក់ក្រុម:User th	Category:Th 使用者
