Afrika	非洲
Fyodor Dostoyevskiy	費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基
Amersfoort	阿默斯福特
Ledenez Kamtchatka	堪察加半島
Tbilisi	第比利斯
Appingedam	阿平厄丹
Andrey Sac'harov	安德烈·德米特里耶维奇·萨哈罗夫
Babig	嬰兒
Astat	砹
Gabon	加蓬
Mahatma Gandhi	圣雄甘地
Solidarność	團結工聯
Bannoù-treset	漫画
Gambia	冈比亚
Ginea	几内亚
Ginea-Bissau	幾內亞比索
Aod an Olifant	科特迪瓦
Kameroun	喀麦隆
Kab Glas	佛得角
Lesotho	莱索托
Liberia	利比里亚
Libia	利比亚
Aachen	亚琛
Madagaskar	马达加斯加
Malawi	马拉维
Stuttgart	斯图加特
Maouritania	毛里塔尼亚
Maoris	毛里求斯
Maroko	摩洛哥
Mozambik	莫桑比克
Namibia	纳米比亚
France Prešeren	弗兰策·普列舍仁
Niger	尼日尔
Nigeria	奈及利亞
Biel/Bienne	比爾 (瑞士)
Charles Darwin	查尔斯·达尔文
Ouganda	乌干达
Rwanda	卢旺达
Zirkoniom	锆
São Tomé ha Príncipe	圣多美和普林西比
Karlsruhe	卡尔斯鲁厄
Senegal	塞内加尔
Sechelez	塞舌尔
Carl von Linné	卡尔·林奈
Sierra Leone	塞拉利昂
Somalia	索马里
Niobiom	铌
Jawaharlal Nehru	贾瓦哈拉尔·尼赫鲁
Caius Julius Caesar	尤利烏斯·凱撒
Soudan	苏丹共和国
Swaziland	斯威士兰
Kanevedenn	彩虹
Molibden	钼
Teknetiom	锝
Hamburg	汉堡
Metabolegezh	代谢
Narendra Modi	纳伦德拉·莫迪
Gujarat	古吉拉特邦
Lenn Ontario	安大略湖
Alessandro Manzoni	亚历山达罗·孟佐尼
Aozadur ar Broadoù Unanet	联合国
Lenn Superior	苏必利尔湖
Dante Alighieri	但丁·阿利吉耶里
Douarouriezh	地质学
Douaroniezh	地理学
Kalon	心臟
Empenn	脑
Kroc'hen	皮膚
Liv	颜色
Star Trek (heuliadenn orin)	星際爭霸戰
Salerno	薩萊諾
Anv-kadarn	名詞
Praha	布拉格
Ruteniom	钌
Rodiom	铑
Glas (liv)	藍色
Palladiom	钯
Arc'hant (metal)	銀
Kadmiom	镉
Star Trek	星艦奇航記
Limburg (Izelvroioù)	林堡省 (荷兰)
Indiom	铟
Limbourg (Belgia)	林堡省 (比利时)
Staen	锡
Uraniom	鈾
Antimon	锑
Telluriom	碲
Noord-Brabant	北布拉班特省
Plutoniom	钚
Iod	碘
Neptuniom	镎
Ksenon	氙
Anime	日本动画
Keziom	铯
Protaktiniom	镤
Bariom	钡
Proviñs Kornôg-Flandrez	西佛兰德省
Reter-Flandrez	东佛兰德省
Toriom	钍
Antwerpen (proviñs)	安特衛普省
Brabant Flandrez	弗拉芒-布拉班特省
Hafniom	铪
Aktiniom	锕
Brabant Wallonia	瓦隆-布拉班特省
Tantalom	钽
Bill Clinton	比尔·克林顿
Namur (proviñs)	那慕爾省
Luksembourg (proviñs)	盧森堡省
Liège (proviñs)	列日省
Radiom	镭
Hainaut (proviñs)	埃諾省
Radon	氡
Lorraine (rannvro)	洛林
Elzas	阿尔萨斯
Jean-Philippe Rameau	让-菲利普·拉莫
Indira Gandhi	英迪拉·甘地
Merc'her (doue)	墨丘利
Louis Hector Berlioz	埃克托·柏辽兹
Auvergne (rannvro)	奥弗涅
Mumbai	孟买
Andhra Pradesh	安得拉邦
Arunachal Pradesh	阿鲁纳恰尔邦
Asam	阿萨姆邦
Bihar	比哈尔邦
Michigan	密歇根州
Chhattisgarh	恰蒂斯加尔邦
Lenn Michigan	密歇根湖
Goa	果阿邦
Bourgogn (rannvro)	勃艮第
Haryana	哈里亚纳邦
Himachal Pradesh	喜马偕尔邦
Maurice Ravel	莫里斯·拉威爾
Akitania (rannvro)	阿基坦
Jammu ha Kachmir	查谟-克什米尔邦
Puerto Rico	波多黎各
Jharkhand	贾坎德邦
Karnataka	卡纳塔克邦
Kerala	喀拉拉邦
Madhya Pradesh	中央邦
Usain Bolt	尤塞恩·博尔特
Limousin (rannvro)	利穆赞
Maharashtra	马哈拉施特拉邦
Jean-Baptiste Lully	让-巴普蒂斯特·吕利
Manipur	曼尼普尔邦
Schleswig-Holstein	石勒苏益格-荷尔斯泰因
Meghalaya	梅加拉亚邦
Mecklenburg-Pomerania ar C'hornaoueg	梅克倫堡-西波美拉尼亞
Saks-Izel	下萨克森
Nordrhein-Westfalen	北莱茵-威斯特法伦
Hessen	黑森
Rheinland-Pfalz	莱茵兰-普法尔茨
Saarland	薩爾蘭
Saks	萨克森自由州
John Lennon	约翰·列侬
Illinois	伊利诺伊州
Thüringen	图林根
Saks-Anhalt	萨克森-安哈尔特
North Dakota	北达科他州
Brandenburg	勃兰登堡
Bremen	不來梅州
Lombardia	伦巴第
South Dakota	南达科他州
Montana	蒙大拿州
Wyoming	怀俄明州
Piemonte	皮埃蒙特
Jeruzalem	耶路撒冷
Giorgio Napolitano	乔治·纳波利塔诺
Idaho	爱达荷州
Traoñienn Aosta	瓦莱达奥斯塔
Washington (stad)	华盛顿州
Rutherfordiom	鑪
Nevada	内华达州
Francesco Cossiga	弗朗切斯科·科西加
Dubniom	𨧀
Seaborgiom	𨭎
Trentino-Alto Adige	特伦蒂诺-上阿迪杰
Meurvor Indez	印度洋
Veneto	威尼托
Kosovo	科索沃
Mor Karib	加勒比海
Bohriom	𨨏
Friuli-Venezia Giulia	弗留利-威尼斯朱利亚
Hasiom	𨭆
Ban Ki-moon	潘基文
Kofi Annan	科菲·安南
Liguria (Rannvro)	利古里亞
Meitneriom	䥑
Kurt Waldheim	库尔特·瓦尔德海姆
Colorado	科羅拉多州
Emilia-Romagna	艾米利亚-罗马涅
Colorado (stêr)	科羅拉多河
Darmstadtiom	鐽
Frédéric Chopin	弗雷德里克·肖邦
Kaotigell	果醬
Roentgeniom	錀
Toskana	托斯卡纳
Leonard Cohen	里奥纳德·科恩
Kopernisiom	鎶
Marche	马尔凯
Umbria	翁布里亚
Rummad:Rummad pennañ	Category:頁面分類
Lazio	拉齐奥
Abruzzo	阿布鲁佐
Alpoù	阿尔卑斯山
Karpatoù	喀尔巴阡山脉
Grenoble	格勒诺布尔
Blaise Pascal	布莱兹·帕斯卡
Dortmund	多特蒙德
Gent	根特
Chicago	芝加哥
The Beatles	披頭四樂隊
Fleroviom	鈇
Livermoriom	鉝
Maastricht	马斯特里赫特
Arnhem	阿纳姆
Goañv	冬季
Nevezamzer	春季
Hañv	夏季
Diskar-amzer	秋季
Kedez	晝夜平分點
Saddam Husain	萨达姆·侯赛因
Ousama ben Laden	奥萨马·本·拉登
Spagnoleg	西班牙语
Montevideo	蒙得维的亚
Johann Sebastian Bach	约翰·塞巴斯蒂安·巴赫
Antonio Vivaldi	安东尼奥·维瓦尔第
Pittsburgh	匹兹堡
C'hoarigan	歌剧
Philadelphia	費城
Kolkata	加尔各答
Chennai	金奈
Delhi	德里
Dhaka	达卡
Bangalore	班加羅爾
Kornôg Bengal	西孟加拉邦
Kevnid	蜘蛛
Arthropoda	节肢动物
Islamabad	伊斯兰堡
Tripura	特里普拉邦
Frouezh	果实
Marmouz (loen)	猴
Arc'hant	貨幣
Virginia	弗吉尼亚州
West Virginia	西維吉尼亞州
Kevioù hag Erevent	龙与地下城
Gary Gygax	加里·吉盖克斯
Lenn Huron	休伦湖
New York (Stad)	纽约州
Keriom	铈
Prazeodimiom	镨
Rhode Island	羅德島州
Neodimiom	钕
Amprevan	昆虫
Maryland	马里兰州
Delaware	特拉华州
Vladimir Lenin	列宁
Europiom	铕
Ohio	俄亥俄州
Publius Vergilius Maro	维吉尔
Niccolò Machiavelli	尼可罗·马基亚维利
Pennsylvania	宾夕法尼亚州
Petrarca	弗朗切斯科·彼特拉克
Giovanni Boccaccio	乔万尼·薄伽丘
Luigi Pirandello	路伊吉·皮兰德娄
Uetersen	于特森
Aogust (impalaer)	奥古斯都
Microsoft Windows	Microsoft Windows
Tiberius Caesar Augustus	提贝里乌斯
New Jersey	新泽西州
Caligula	卡利古拉
Jibraltar	直布罗陀
Glaoda Iañ	克勞狄一世
Finneg	芬兰语
Indiana	印第安纳州
Vitellius	維特里烏斯
Vespasianus	韦斯巴芗
Karr-tan	汽车
Titus (impalaer)	提圖斯
Domitianus	图密善
Roger Federer	罗杰·费德勒
Hadrian	哈德良
Georgia	喬治亞州
Antoninus Pius	安敦宁·毕尤
Marcus Aurelius	馬爾庫斯·奧列里烏斯
Zagreb	萨格勒布
Rajasthan	拉贾斯坦邦
Campania	坎帕尼亚
Texas	德克萨斯州
Molise	莫利塞
Tamil Nadu	泰米尔纳德邦
Caracalla	卡拉卡拉
Puglia	普利亚
Genova	热那亚
Bruno Mars	布鲁诺·马尔斯
Basilicata	巴斯利卡塔
North Carolina	北卡罗来纳州
South Carolina	南卡罗来纳州
Calabria	卡拉布里亚
Heureuchin skouarnek	大耳猬
Sikilia	西西里岛
Manila	马尼拉
Sardigna	撒丁岛
