Áfríkà	非洲
18773 Bredehoft	小行星18773
18775 Donaldeng	小行星18775
18785 Betsywelsh	小行星18785
18766 Broderick	小行星18766
18824 Graves	小行星18824
18812 Aliadler	小行星18812
19004 Chirayath	小行星19004
18825 Alicechai	小行星18825
18947 Cindyfulton	小行星18947
19003 Erinfrey	小行星19003
23944 Dusser	小行星23944
18510 Chasles	小行星18510
18560 Coxeter	小行星18560
18681 Caseylipp	小行星18681
18707 Annchi	小行星18707
18662 Erinwhite	小行星18662
18675 Amiamini	小行星18675
18672 Ashleyamini	小行星18672
18653 Christagünt	小行星18653
18668 Gottesman	小行星18668
18581 Batllo	小行星18581
18430 Balzac	小行星18430
18505 Caravelli	小行星18505
18159 Andrewcook	小行星18159
18334 Drozdov	小行星18334
18548 Christoffel	小行星18548
95593 Azusienis	小行星95593
18127 Denversmith	小行星18127
18192 Craigwallace	小行星18192
18458 Caesar	小行星18458
17908 Chriskuyu	小行星17908
24601 Valjean	小行星24601
18113 Bibring	小行星18113
58682 Alenašolcová	小行星58682
18157 Craigwright	小行星18157
18084 Adamwohl	小行星18084
18075 Donasharma	小行星18075
18119 Braude	小行星18119
18024 Dobson	小行星18024
18099 Flamini	小行星18099
18095 Frankblock	小行星18095
43971 Gabzdyl	小行星43971
18086 Emilykraft	小行星18086
18020 Amend	小行星18020
17921 Aldeobaldia	小行星17921
18019 Dascoli	小行星18019
22898 Falce	小行星22898
16232 Chijagerbs	小行星16232
13004 Aldaz	小行星13004
17893 Arlot	小行星17893
17897 Gallardo	小行星17897
17806 Adolfborn	小行星17806
17823 Bartels	小行星17823
17891 Buraliforti	小行星17891
17712 Fatherwilliam	小行星17712
17856 Gomes	小行星17856
17696 Bombelli	小行星17696
17835 Anoelsuri	小行星17835
17836 Canup	小行星17836
17869 Descamps	小行星17869
17803 Barish	小行星17803
17795 Elysiasegal	小行星17795
17807 Ericpearce	小行星17807
17784 Banerjee	小行星17784
17249 Eliotyoung	小行星17249
17885 Brianbeyt	小行星17885
17472 Dinah	小行星17472
17858 Beaugé	小行星17858
17653 Bochner	小行星17653
17600 Dobřichovice	小行星17600
17459 Andreashofer	小行星17459
17265 Debennett	小行星17265
17179 Codina	小行星17179
17019 Aldo	小行星17019
17285 Bezout	小行星17285
17458 Dick	小行星17458
17240 Gletorrence	小行星17240
17062 Bardot	小行星17062
17056 Boschetti	小行星17056
17496 Augustinus	小行星17496
16986 Archivestef	小行星16986
16906 Giovannisilva	小行星16906
17032 Edlu	小行星17032
16857 Goodall	小行星16857
16783 Bychkov	小行星16783
16809 Galápagos	小行星16809
16804 Bonini	小行星16804
23153 Andrewnowell	小行星23153
16946 Farnham	小行星16946
16887 Blouke	小行星16887
16975 Delamere	小行星16975
15957 Gemoore	小行星15957
16879 Campai	小行星16879
16107 Chanmugam	小行星16107
17029 Cuillandre	小行星17029
16435 Fándly	小行星16435
16249 Cauchy	小行星16249
15950 Dallago	小行星15950
16714 Arndt	小行星16714
16683 Alepieri	小行星16683
16150 Clinch	小行星16150
16507 Fuuren	小行星16507
16518 Akihikoito	小行星16518
16250 Delbó	小行星16250
15929 Ericlinton	小行星15929
15887 Daveclark	小行星15887
15845 Bambi	小行星15845
15896 Birkhoff	小行星15896
15905 Berthier	小行星15905
15846 Billfyfe	小行星15846
15938 Bohnenblust	小行星15938
15911 Davidgauthier	小行星15911
15819 Alisterling	小行星15819
15967 Clairearmstrong	小行星15967
11305 Ahlqvist	小行星11305
16744 Antonioleone	小行星16744
16244 Brož	小行星16244
16672 Bedini	小行星16672
16154 Dabramo	小行星16154
16002 Bertin	小行星16002
16452 Goldfinger	小行星16452
16197 Bluepeter	小行星16197
12153 Conon	小行星12153
15621 Erikhovland	小行星15621
15992 Cynthia	小行星15992
15986 Fienga	小行星15986
12152 Aratus	小行星12152
15849 Billharper	小行星15849
16106 Carmagnola	小行星16106
15868 Akiyoshidai	小行星15868
12154 Callimachus	小行星12154
12161 Avienius	小行星12161
15675 Goloseevo	小行星15675
12159 Bettybiegel	小行星12159
15553 Carachang	小行星15553
15818 DeVeny	小行星15818
18101 Coustenis	小行星18101
15630 Disanti	小行星15630
15392 Budějický	小行星15392
15631 Dellorusso	小行星15631
15420 Aedouglass	小行星15420
15513 Emmermann	小行星15513
15543 Elizateel	小行星15543
15389 Geflorsch	小行星15389
15466 Barlow	小行星15466
15465 Buchroeder	小行星15465
15378 Artin	小行星15378
15263 Erwingroten	小行星15263
15321 Donnadean	小行星15321
15037 Chassagne	小行星15037
15036 Giovannianselmi	小行星15036
15282 Franzmarc	小行星15282
15388 Coelum	小行星15388
15379 Alefranz	小行星15379
15346 Bonifatius	小行星15346
15258 Alfilipenko	小行星15258
15276 Diebel	小行星15276
15052 Emileschweitzer	小行星15052
15042 Anndavgui	小行星15042
15231 Ehdita	小行星15231
15056 Barbaradixon	小行星15056
14953 Bevilacqua	小行星14953
14965 Bonk	小行星14965
15077 Edyalge	小行星15077
14977 Bressler	小行星14977
15026 Davidscott	小行星15026
14790 Beletskij	小行星14790
14820 Aizuyaichi	小行星14820
14940 Freiligrath	小行星14940
14593 Everett	小行星14593
14596 Bergstralh	小行星14596
14702 Benclark	小行星14702
14659 Gregoriana	小行星14659
14627 Emilkowalski	小行星14627
14669 Beletic	小行星14669
14413 Geiger	小行星14413
14429 Coyne	小行星14429
14094 Garneau	小行星14094
14252 Audreymeyer	小行星14252
14120 Espenak	小行星14120
14065 Flegel	小行星14065
14313 Dodaira	小行星14313
14141 Demeautis	小行星14141
14238 d'Artagnan	小行星14238
14789 GAISH	小行星14789
14088 Ancus	小行星14088
14071 Gadabird	小行星14071
14092 Gaily	小行星14092
14182 Alley	小行星14182
14062 Cremaschini	小行星14062
13954 Born	小行星13954
14041 Dürrenmatt	小行星14041
13693 Bondar	小行星13693
13916 Bernolák	小行星13916
13914 Galegant	小行星13914
14042 Agafonov	小行星14042
14025 Fallada	小行星14025
13993 Clemenssimmer	小行星13993
13806 Darmstrong	小行星13806
13704 Aletesi	小行星13704
13808 Davewilliams	小行星13808
14054 Dušek	小行星14054
13752 Grantstokes	小行星13752
13798 Cecchini	小行星13798
13869 Fruge	小行星13869
14026 Esquerdo	小行星14026
13825 Booth	小行星13825
13722 Campobagatin	小行星13722
13700 Connors	小行星13700
13684 Borbona	小行星13684
13830 ARLT	小行星13830
13992 Cesarebarbieri	小行星13992
13977 Frisch	小行星13977
13677 Alvin	小行星13677
13543 Butler	小行星13543
13638 Fiorenza	小行星13638
13652 Elowitz	小行星13652
13330 Dondavis	小行星13330
13395 Deconihout	小行星13395
13423 Bobwoolley	小行星13423
13624 Abeosamu	小行星13624
13376 Dunphy	小行星13376
13562 Bobeggleton	小行星13562
13489 Dmitrienko	小行星13489
13436 Enid	小行星13436
13332 Benkhoff	小行星13332
13231 Blondelet	小行星13231
13606 Bean	小行星13606
13326 Ferri	小行星13326
13248 Fornasier	小行星13248
13286 Adamchauvin	小行星13286
13250 Danieladucato	小行星13250
13333 Carsenty	小行星13333
13405 Dorisbillings	小行星13405
13329 Davidhardy	小行星13329
13147 Foglia	小行星13147
13024 Conradferdinand	小行星13024
12926 Brianmason	小行星12926
13077 Edschneider	小行星13077
12812 Cioni	小行星12812
13223 Cenaceneri	小行星13223
13018 Geoffjames	小行星13018
12846 Fullerton	小行星12846
13168 Danoconnell	小行星13168
12843 Ewers	小行星12843
12975 Efremov	小行星12975
12934 Bisque	小行星12934
12910 Deliso	小行星12910
13010 Germantitov	小行星13010
12790 Cernan	小行星12790
13145 Cavezzo	小行星13145
12932 Conedera	小行星12932
12848 Agostino	小行星12848
12828 Batteas	小行星12828
12897 Bougeret	小行星12897
12583 Buckjean	小行星12583
12834 Bomben	小行星12834
12517 Grayzeck	小行星12517
12414 Bure	小行星12414
12237 Coughlin	小行星12237
12566 Derichardson	小行星12566
12562 Briangrazer	小行星12562
12729 Berger	小行星12729
12568 Kuffner	小行星12568
12498 Dragesco	小行星12498
12359 Cajigal	小行星12359
12350 Feuchtwanger	小行星12350
12226 Caseylisse	小行星12226
12675 Chabot	小行星12675
12533 Edmond	小行星12533
12364 Asadagouryu	小行星12364
12442 Beltramemass	小行星12442
12557 Caracol	小行星12557
12408 Fujioka	小行星12408
12409 Bukovanská	小行星12409
12680 Bogdanovich	小行星12680
11981 Boncompagni	小行星11981
12579 Ceva	小行星12579
12433 Barbieri	小行星12433
12686 Bezuglyj	小行星12686
12496 Ekholm	小行星12496
12189 Dovgyj	小行星12189
12211 Arnoschmidt	小行星12211
11998 Fermilab	小行星11998
12044 Fabbri	小行星12044
12218 Fleischer	小行星12218
11678 Brevard	小行星11678
11621 Duccio	小行星11621
12061 Alena	小行星12061
12033 Anselmo	小行星12033
12057 Alfredsturm	小行星12057
11691 Easterwood	小行星11691
11665 Dirichlet	小行星11665
11421 Cardano	小行星11421
11378 Dauria	小行星11378
11373 Carbonaro	小行星11373
11740 Georgesmith	小行星11740
33010 Enricoprosperi	小行星33010
10780 Apollinaire	小行星10780
16578 Essjayess	小行星16578
11126 Doleček	小行星11126
11101 Českáfilharmonie	小行星11101
11075 Dönhoff	小行星11075
10856 Bechstein	小行星10856
10937 Ferris	小行星10937
10895 Aynrand	小行星10895
10825 Augusthermann	小行星10825
10861 Ciske	小行星10861
10683 Carter	小行星10683
10827 Doikazunori	小行星10827
10702 Arizorcas	小行星10702
10891 Fink	小行星10891
10931 Ceccano	小行星10931
10830 Desforges	小行星10830
10850 Denso	小行星10850
10928 Caprara	小行星10928
11419 Donjohnson	小行星11419
11666 Bracker	小行星11666
10857 Blüthner	小行星10857
11027 Astaf'ev	小行星11027
33179 Arsènewenger	小行星33179
10633 Akimasa	小行星10633
G.723	G.723
10717 Dickwalker	小行星10717
11098 Ginsberg	小行星11098
12358 Azzurra	小行星12358
10808 Digerrojr	小行星10808
ISO 2	ISO 2
17602 Dr. G.	小行星17602
11037 Distler	小行星11037
Moeenuddin Ahmad Qureshi	莫因·库雷希
16755 Cayley	小行星16755
17902 Britbaker	小行星17902
84012 Deluise	小行星84012
100051 Davidhernandez	小行星100051
106545 Colanduno	小行星106545
107074 Ansonsylva	小行星107074
117156 Altschwendt	小行星117156
14104 Delpino	小行星14104
133528 Ceragioli	小行星133528
133527 Fredearly	小行星133527
20358 Dalem	小行星20358
19915 Bochkarev	小行星19915
15851 Chrisfleming	小行星15851
10426 Charlierouse	小行星10426
10628 Feuerbacher	小行星10628
34718 Cantagalli	小行星34718
14539 Clocke Roeland	小行星14539
12418 Tongling	小行星12418
16951 Carolus Quartus	小行星16951
15939 Fessenden	小行星15939
30722 Biblioran	小行星30722
24249 Bobbiolson	小行星24249
20006 Albertus Magnus	小行星20006
30788 Angekauffmann	小行星30788
24259 Chriswalker	小行星24259
31192 Aigoual	小行星31192
35365 Cooney	小行星35365
33004 Dianesipiera	小行星33004
26177 Fabiodolfi	小行星26177
31122 Brooktaylor	小行星31122
25216 Enricobernardi	小行星25216
24898 Alanholmes	小行星24898
33480 Bartolucci	小行星33480
30778 Döblin	小行星30778
31065 Beishizhang	小行星31065
22869 Brianmcfar	小行星22869
30441 Curly	小行星30441
24899 Dominiona	小行星24899
33750 Davehiggins	小行星33750
30798 Graubünden	小行星30798
30852 Debye	小行星30852
31605 Braschi	小行星31605
35364 Donaldpray	小行星35364
32571 Brayton	小行星32571
31086 Gehringer	小行星31086
35334 Yarkovsky	小行星35334
33532 Gabriellacoli	小行星33532
32222 Charlesvest	小行星32222
32564 Glass	小行星32564
32569 Deming	小行星32569
34351 Decatur	小行星34351
26984 Fernand-Roland	小行星26984
33747 Clingan	小行星33747
31110 Clapas	小行星31110
35978 Arlington	小行星35978
37859 Bobkoff	小行星37859
39678 Ammannito	小行星39678
33863 Elfriederwin	小行星33863
36060 Babuška	小行星36060
42365 Caligiuri	小行星42365
45261 Decoen	小行星45261
37573 Enricocaruso	小行星37573
10450 Girard	小行星10450
45737 Benita	小行星45737
43790 Ferdinandbraun	小行星43790
46053 Davidpatterson	小行星46053
43954 Chýnov	小行星43954
40106 Erben	小行星40106
45073 Doyanrose	小行星45073
39890 Bobstephens	小行星39890
39849 Giampieri	小行星39849
39809 Fukuchan	小行星39809
39540 Borchert	小行星39540
43293 Banting	小行星43293
39335 Caccin	小行星39335
43999 Gramigna	小行星43999
41943 Fredrick	小行星41943
43511 Cima Ekar	小行星43511
40328 Dow	小行星40328
40440 Dobrovský	小行星40440
39699 Ernestocorte	小行星39699
42747 Fuser	小行星42747
46095 Frédérickoby	小行星46095
44103 Aldana	小行星44103
52649 Chrismith	小行星52649
48643 Allen-Beach	小行星48643
48737 Cusinato	小行星48737
49777 Cappi	小行星49777
42482 Fischer-Dieskau	小行星42482
48415 Dehio	小行星48415
59417 Giocasilli	小行星59417
48774 Anngower	小行星48774
42748 Andrisani	小行星42748
42775 Bianchini	小行星42775
51741 Davidixon	小行星51741
47144 Faulkes	小行星47144
55749 Eulenspiegel	小行星55749
55874 Brlka	小行星55874
43751 Asam	小行星43751
52421 Daihoji	小行星52421
49501 Basso	小行星49501
54693 Garymyers	小行星54693
59800 Astropis	小行星59800
54902 Close	小行星54902
59793 Clapiès	小行星59793
59833 Danimatter	小行星59833
49109 Agnesraab	小行星49109
65100 Birtwhistle	小行星65100
49481 Gisellarubini	小行星49481
58608 Geroldrichter	小行星58608
63305 Bobkepple	小行星63305
65357 Antoniucci	小行星65357
58579 Ehrenberg	小行星58579
55108 Beamueller	小行星55108
54411 Bobestelle	小行星54411
58191 Dolomiten	小行星58191
71461 Chowmeeyee	小行星71461
73442 Feruglio	小行星73442
58097 Alimov	小行星58097
55759 Erdmannsdorff	小行星55759
61384 Arturoromer	小行星61384
65685 Behring	小行星65685
65708 Ehrlich	小行星65708
66939 Franscini	小行星66939
68325 Begues	小行星68325
85320 Bertram	小行星85320
73693 Dorschner	小行星73693
85197 Ginkgo	小行星85197
88292 Bora-Bora	小行星88292
68947 Brunofunk	小行星68947
70745 Aleserpieri	小行星70745
78816 Caripito	小行星78816
74509 Gillett	小行星74509
85168 Albertacentenary	小行星85168
72819 Brunet	小行星72819
77755 Delémont	小行星77755
73079 Davidbaltimore	小行星73079
73465 Buonanno	小行星73465
85217 Bilzingsleben	小行星85217
12456 Genichiaraki	小行星12456
90817 Doylehall	小行星90817
19258 Gongyi	小行星19258
96193 Edmonton	小行星96193
91214 Diclemente	小行星91214
93061 Barbagallo	小行星93061
10900 Folkner	小行星10900
96747 Crespodasilva	小行星96747
92685 Cordellorenz	小行星92685
15902 Dostál	小行星15902
10795 Babben	小行星10795
90138 Diehl	小行星90138
95959 Covadonga	小行星95959
24749 Grebel	小行星24749
29456 Evakrchová	小行星29456
10988 Feinstein	小行星10988
21502 Cruz	小行星21502
12391 Ecoadachi	小行星12391
10803 Caléyo	小行星10803
23295 Brandoreavis	小行星23295
24278 Davidgreen	小行星24278
24236 Danielberger	小行星24236
23817 Gokulk	小行星23817
24219 Chrisodom	小行星24219
12383 Eboshi	小行星12383
24270 Dougskinner	小行星24270
24274 Alliswheeler	小行星24274
24238 Adkerson	小行星24238
24268 Charconley	小行星24268
24245 Ezratty	小行星24245
23017 Advincula	小行星23017
24289 Anthonypalma	小行星24289
20451 Galeotti	小行星20451
ISO 9984	ISO 9984
ISO 843	ISO 843
157640 Baumeler	小行星157640
134244 De Young	小行星134244
147397 Bobhazel	小行星147397
133280 Bryleen	小行星133280
163626 Glatfelter	小行星163626
157473 Emuno	小行星157473
131245 Bakich	小行星131245
129342 Ependes	小行星129342
114156 Eamonlittle	小行星114156
114239 Bermarmi	小行星114239
117032 Davidlane	小行星117032
108140 Alir	小行星108140
185638 Erwinschwab	小行星185638
132661 Carlbaeker	小行星132661
128297 Ashlevi	小行星128297
128065 Bartbenjamin	小行星128065
120038 Franlainsher	小行星120038
116166 Andrémaeder	小行星116166
129101 Geoffcollyer	小行星129101
115477 Brantanica	小行星115477
40764 Gerhardiser	小行星40764
33478 Deniselivon	小行星33478
117715 Carlkirby	小行星117715
117430 Achosyx	小行星117430
42929 Francini	小行星42929
49987 Bonata	小行星49987
Adoum Younousmi	阿杜姆·尤努斯米
11256 Fuglesang	小行星11256
Ahmed Koulamallah	艾哈邁德·庫拉馬拉
Àdàkọ:Location map USA Hawaii	Template:Location map USA Hawaii
Àdàkọ:Location map USA California	Template:Location map USA California
Àdàkọ:Location map USA Massachusetts	Template:Location map USA Massachusetts
Àdàkọ:Location map USA Michigan	Template:Location map USA Michigan
Àdàkọ:Location map USA New York	Template:Location map USA New York
Àdàkọ:Location map USA Ohio	Template:Location map USA Ohio
Àdàkọ:Location map USA Tennessee	Template:Location map USA Tennessee
Àdàkọ:Location map USA Texas	Template:Location map USA Texas
Àdàkọ:Location map USA2	Template:Location map USA2
Ìdíje Wimbledon 2013 − Àwọn Obìnrin Ẹnìkan	2013年溫布頓網球錦標賽女子單打比賽
Ẹ̀ka:Ẹ̀kúnrẹ́rẹ́	Category:小作品
Ẹ̀ka:Ìmójútó Wikipedia	Category:維基百科管理
Ẹ̀ka:Àṣà	Category:文化
Ẹ̀ka:Àwọn ẹ̀ka	Category:分類
Ẹ̀ka:Àwọn ẹ̀wádún	Category:年代
Ẹ̀ka:Àwọn ọdún	Category:年
Ẹ̀ka:Ìmọ̀	Category:知識
Ẹ̀ka:Àwọn orílẹ̀	Category:大洲
Ẹ̀ka:Ìṣeọ̀rọ̀oríilẹ̀	Category:地质学
Ẹ̀ka:Àwọn àkójọ	Category:列表
Ìdílé Augusta	奥古斯塔族
Urhobo	烏爾霍博族
ISO 259	ISO 259
Noël Milarew Odingar	諾埃爾·米拉勞·奧丁加爾
Funtua	丰图阿
ISO 6709	ISO 6709
Ẹ̀wádún 10	10年代
Hamada Madi	哈馬達·馬迪
Meteora	迈泰奥拉
Said Mohamed Jaffar	賽義德·穆罕默德·賈法爾
Wikipedia:Àwọn Ìṣẹ̀lẹ̀ Bíi Ọjọ́ Òní	Wikipedia:历史上的今天
ISO/IEC 27000-series	ISO/IEC 27000系列
Wikipedia:Àwọn oníṣe Wikipedia	Wikipedia:維基百科人
Ìrànwọ́:Àwọn àtúnṣe tuntun	Help:最近更改
Àkójọ àwọn olórí orílẹ̀-èdè ilẹ̀ Kòmórò	科摩罗总统
(121514) 1999 UJ7	小行星121514
Edward Brooke	爱德华·布鲁克
Media Access Control	介质访问控制
55555 DNA	小行星55555
Mikronésíà	密克罗尼西亚群岛
Àdàkọ:Location map Denmark Faroe Islands	Template:Location map Faroe Islands
Orlu	奥尔吕 (厄尔-卢瓦尔省)
ISO 10303-21	STP (文件格式)
ISO 2145	ISO 2145
Gontchomé Sahoulba	貢喬梅·薩烏爾巴
Djidingar Dono Ngardoum	吉丁加爾·多諾·恩加杜姆
Jean-Baptiste Hachème	Jean-Baptiste Hachème
Wande Abimbola	万德·阿比姆博拉
Ọkànli	鸭乸草
Mohamed Ahmed	穆罕默德·艾哈迈德
Àkójọ àwọn ogun 1900–1944	战争列表 (1900年-1944年)
Ìrànwọ́:Ìforúkọsílẹ̀ àti ìwolé	Help:登录
Àkójọ àwọn orílẹ̀-èdè àti àwọn agbègbè òkèrè bíi ààlà ilẹ̀	国家陆地面积列表
10392 Brace	小行星10392
10385 Amaterasu	小行星10385
10421 Dalmatin	小行星10421
10424 Gaillard	小行星10424
10453 Banzan	小行星10453
10487 Danpeterson	小行星10487
10498 Bobgent	小行星10498
10579 Diluca	小行星10579
10584 Ferrini	小行星10584
10591 Caverni	小行星10591
10607 Amandahatton	小行星10607
10639 Gleason	小行星10639
10642 Charmaine	小行星10642
10719 Andamar	小行星10719
10727 Akitsushima	小行星10727
10745 Arnstadt	小行星10745
10740 Fallersleben	小行星10740
11001 Andrewulff	小行星11001
11067 Greenancy	小行星11067
11104 Airion	小行星11104
11102 Bertorighini	小行星11102
11122 Eliscolombini	小行星11122
11119 Taro	小行星11119
11123 Aliciaclaire	小行星11123
11142 Facchini	小行星11142
11147 Delmas	小行星11147
11148 Einhardress	小行星11148
11150 Bragg	小行星11150
111558 Barrett	小行星111558
11156 Al-Khwarismi	小行星11156
11158 Cirou	小行星11158
11161 Daibosatsu	小行星11161
111818 Deforest	小行星111818
11255 Fujiiekio	小行星11255
11258 Aoyama	小行星11258
11292 Bunjisuzuki	小行星11292
11316 Fuchitatsuo	小行星11316
11322 Aquamarine	小行星11322
11348 Allegra	小行星11348
11356 Chuckjones	小行星11356
11360 Formigine	小行星11360
11374 Briantaylor	小行星11374
11417 Chughtai	小行星11417
11422 Alilienthal	小行星11422
11423 Cronin	小行星11423
11445 Fedotov	小行星11445
11446 Betankur	小行星11446
11473 Barbaresco	小行星11473
11495 Fukunaga	小行星11495
11592 Clintkelly	小行星11592
11600 Cipolla	小行星11600
11625 Francelinda	小行星11625
11670 Fountain	小行星11670
11672 Cuney	小行星11672
11673 Baur	小行星11673
11675 Billboyle	小行星11675
11679 Brucebaker	小行星11679
11688 Amandugan	小行星11688
11690 Carodulaney	小行星11690
11709 Eudoxos	小行星11709
11728 Einer	小行星11728
11739 Baton Rouge	小行星11739
11781 Alexroberts	小行星11781
11823 Christen	小行星11823
11911 Angel	小行星11911
11928 Akimotohiro	小行星11928
11949 Kagayayutaka	小行星11949
11980 Ellis	小行星11980
11997 Fassel	小行星11997
18102 Angrilli	小行星18102
Ẹ̀ka:Wikipedia bots	Category:維基百科機器人
DV	DV
Ìpínlẹ̀ Ẹnúgu	埃努古州
Ìwúwo átọ̀mù	原子量
Lupita Nyong'o	露琵塔·尼詠歐
Wikipedia:Ẹ mọ́ fòyà	Wikipedia:勇于更新页面
Ẹ̀ka:Àwọn ènìyàn ará Jẹ́mánì	Category:德国人
Ẹ̀ka:Àwọn ará Amẹ́ríkà	Category:美国人
Ẹ̀ka:Àwọn òṣeré	Category:演员
Ẹ̀ka:Àwọn ará Austríà	Category:奧地利人
Ẹ̀ka:Àwọn ará Nẹ́dálándì	Category:荷兰人
Ẹ̀ka:Àwọn ará Brítánì	Category:英国人
Ẹ̀ka:Àwọn ará Fránsì	Category:法国人
Ẹ̀ka:Àwọn ará Dómíníkì Olómìnira	Category:多米尼加共和国人
Ẹ̀ka:Àwọn ará Swítsàlandì	Category:瑞士人
Ẹ̀ka:Àwọn ará Dẹ́nmárkì	Category:丹麦人
Ẹ̀ka:Àwọn olórin ará Amẹ́ríkà	Category:美國音樂家
Wikipedia:Àwòrán ọjọ́ òní	Wikipedia:特色圖片評選
Àdàkọ:Border-radius	Template:Border-radius
Àdàkọ:Gradient	Template:Gradient
Sergio Mattarella	塞尔焦·马塔雷拉
Àdàkọ:WikipediaLang	Template:Wikipedialang
Àdàkọ:Location map Scotland	Template:Location map Scotland
Àdàkọ:Location map England	Template:Location map England
Àdàkọ:Location map Northern Ireland	Template:Location map Northern Ireland
Ẹ̀ka:Atòlànà kọ̀mpútà ọ̀fẹ́	Category:自由软件
Ẹ̀ka:Òfin	Category:法学
Ẹ̀ka:Àwọn orílẹ̀-èdè	Category:国家
Ẹ̀ka:Ọ̀rọ̀-òkòwò	Category:经济学
Wikipedia:Àwọn alámùójútó	Wikipedia:管理员
Ẹ̀ka:Kàsàkstán	Category:哈萨克斯坦
Ẹ̀ka:Àwọn ènìyàn	Category:人物
Wikipedia:Ìtọrọ láti di alámòjútó	Wikipedia:申请成为管理人员
Ẹ̀ka:Àwọn ẹ̀yà abínibí	Category:族群
Ẹ̀ka:Àwọn ìdawọ́bò	Category:職業
Ẹ̀ka:Àwọn ènìyàn gẹ́gẹ́bí ìdawọ́bò	Category:各職業人物
Wikipedia:Àwọn Bot	Wikipedia:机器人
Ẹ̀ka:Àwọn ẹ̀ka ìbòmọ́lẹ̀	Category:隐藏分类
Ẹ̀ka:Àsìkò	Category:时间
Ẹ̀ka:Àdánidá	Category:自然
Ẹ̀ka:Internet	Category:互联网
Ẹ̀ka:Iṣẹ́ẹ̀rọ	Category:工程學
Ẹ̀ka:Ìwòsàn	Category:医学
Ẹ̀ka:Ìtọ́jú ìlera	Category:卫生保健
Ẹ̀ka:Ìṣèlú	Category:政治
Ẹ̀ka:Ẹ̀kọ́	Category:教育
Ẹ̀ka:Àwọn ọnà	Category:艺术
Ẹ̀ka:Software	Category:软件
Ẹ́gíptì	埃及
Wikipedia:Sock puppetry	Wikipedia:傀儡
Àwọn Filipínò	菲律宾人
Ẹ̀ka:2013	Category:2013年
Ìwé àwọn Ọba	列王紀 (聖經)
Ẹ̀ka:Àwọn amòye	Category:哲学家
Àdàkọ:Bot	Template:Bot
Wikipedia:Kíní Wikipedia kò jẹ́	Wikipedia:维基百科不是什么
Kánádà	加拿大
Ẹ̀ka:Húngárì	Category:匈牙利
Ẹ̀ka:Bẹ́ljíọ̀m	Category:比利時
Ẹ̀ka:Kíprù	Category:賽普勒斯
Ẹ̀ka:Tsẹ́kì Olómìnira	Category:捷克
Ẹ̀ka:Dẹ́nmárkì	Category:丹麥
Ẹ̀ka:Estóníà	Category:爱沙尼亚
Ẹ̀ka:Fínlándì	Category:芬蘭
Ẹ̀ka:Gríìsì	Category:希腊
Ẹ̀ka:Látfíà	Category:拉脫維亞
Ẹ̀ka:Íslándì	Category:冰島
Ẹ̀ka:Lúksẹ́mbọ̀rg	Category:卢森堡
Ẹ̀ka:Lituéníà	Category:立陶宛
Ẹ̀ka:Máltà	Category:馬爾他
Ẹ̀ka:Swídìn	Category:瑞典
Ẹ̀ka:Slofákíà	Category:斯洛伐克
Ẹ̀ka:Sloféníà	Category:斯洛維尼亞
Ẹ̀ka:Àwọn atòràwọ̀ ará Amẹ́ríkà	Category:美国天文学家
Ẹ̀ka:Àwọn àyọkà pàtàkì	Category:特色条目
Wikipedia:Nípa Wikipedia	Wikipedia:关于
Èbúté:Àkóónú/Àwọn àṣíwò	Wikipedia:条目索引
Ọ̀run	天國
Ẹ̀ka:Microsoft	Category:微軟
Ẹ̀ka:Àwọn orílẹ̀-èdè Europe	Category:欧洲国家
Ẹ̀ka:Europe	Category:欧洲
Ẹ̀ka:Ìrànwọ́ Wikipedia	Category:帮助文档
Ẹ̀ka:Àwọn ẹ̀ka gẹ́gẹ́ bíi orí-ọ̀rọ̀	Category:各種主題的頁面分類
Ìrànwọ́:Àwọn ìfẹ́ràn oníṣe	Help:参数设置
Àdàkọ:Aṣàlàyé	Template:Documentation
Ẹ̀ka:Àwọn ojúewé Wikipedia aláàbò	Category:被保护的页面
Open Fránsì 2013 − Àwọn Obìnrin Ẹnìkan	2013年法國網球公開賽女子單打比賽
Open Amẹ́ríkà 2013 − Àwọn Obìnrin Ẹnìkan	2013年美國網球公開賽女子單打比賽
Ẹ̀ka:Àwọn oníṣe Wikipedia	Category:维基人
Wikipedia:Èbúté Àwùjọ	Wikipedia:社群首页
Ẹ̀ka:Àwọn oníṣe gẹ́gẹ́ bìi èdè wọn	Category:用户语言
Ẹ̀ka:Àwọn ìpinu ọ̀nà ìṣiṣẹ́ Wikipedia	Category:维基百科正式方针
Wikipedia:Àwọn àyọkà kúkúrú	Wikipedia:小作品
Adaptive Multi-Rate	自适应多速率音频压缩
Sung Jae-ki	成在基
Arieh Warshel	阿里耶·瓦舍尔
Àdàkọ:Softredirect	Template:軟重定向
Àdàkọ:Ìparẹ́	Template:Delete
Ẹ̀ka:Àwọn agbá tẹ́nìs	Category:网球运动员
Ẹ̀ka:Tẹknọ́lọ́jì	Category:技术
Ẹ̀ka:Gẹ́nẹ́tíìkì	Category:遗传学
Ẹ̀ka:Àwọn èdè	Category:语言
Ẹ̀ka:Àwọn kàlẹ́ndà	Category:曆法
Ẹ̀ka:Wikipedia	Category:维基百科
Ẹ̀ka:Àwọn ojúewé pẹ̀lú àwọn ìjápọ̀ fáìlì gígé	Category:缺少文件的页面
Ẹ̀ka:Àwọn ìlú àwọn orílẹ̀-èdè	Category:各國城市
