ஆப்பிரிக்கா	非洲
பகுப்பு:634	Category:634年
பகுப்பு:1820 பிறப்புகள்	Category:1820年出生
பகுப்பு:1821 பிறப்புகள்	Category:1821年出生
பகுப்பு:1822 பிறப்புகள்	Category:1822年出生
பகுப்பு:1824 பிறப்புகள்	Category:1824年出生
பகுப்பு:1825 பிறப்புகள்	Category:1825年出生
பகுப்பு:1826 பிறப்புகள்	Category:1826年出生
பகுப்பு:635	Category:635年
பகுப்பு:1827 பிறப்புகள்	Category:1827年出生
பகுப்பு:1828 பிறப்புகள்	Category:1828年出生
பகுப்பு:1987 திரைப்படங்கள்	Category:1987年電影
பகுப்பு:1830 பிறப்புகள்	Category:1830年出生
பகுப்பு:1831 பிறப்புகள்	Category:1831年出生
பகுப்பு:1832 பிறப்புகள்	Category:1832年出生
பகுப்பு:1833 பிறப்புகள்	Category:1833年出生
பகுப்பு:1835 பிறப்புகள்	Category:1835年出生
பகுப்பு:1836 பிறப்புகள்	Category:1836年出生
பகுப்பு:1839 பிறப்புகள்	Category:1839年出生
பகுப்பு:1840 பிறப்புகள்	Category:1840年出生
பகுப்பு:1841 பிறப்புகள்	Category:1841年出生
பகுப்பு:1842 பிறப்புகள்	Category:1842年出生
பகுப்பு:1843 பிறப்புகள்	Category:1843年出生
பகுப்பு:1844 பிறப்புகள்	Category:1844年出生
பகுப்பு:1845 பிறப்புகள்	Category:1845年出生
பகுப்பு:1846 பிறப்புகள்	Category:1846年出生
பகுப்பு:1847 பிறப்புகள்	Category:1847年出生
பகுப்பு:1848 பிறப்புகள்	Category:1848年出生
பகுப்பு:1849 பிறப்புகள்	Category:1849年出生
பகுப்பு:1850 பிறப்புகள்	Category:1850年出生
பகுப்பு:1851 பிறப்புகள்	Category:1851年出生
பகுப்பு:1852 பிறப்புகள்	Category:1852年出生
பகுப்பு:1853 பிறப்புகள்	Category:1853年出生
பகுப்பு:1854 பிறப்புகள்	Category:1854年出生
பகுப்பு:1855 பிறப்புகள்	Category:1855年出生
பகுப்பு:1857 பிறப்புகள்	Category:1857年出生
பகுப்பு:1858 பிறப்புகள்	Category:1858年出生
பகுப்பு:1859 பிறப்புகள்	Category:1859年出生
பகுப்பு:1860 பிறப்புகள்	Category:1860年出生
பகுப்பு:1861 பிறப்புகள்	Category:1861年出生
பகுப்பு:1864 பிறப்புகள்	Category:1864年出生
பகுப்பு:1865 பிறப்புகள்	Category:1865年出生
பகுப்பு:640	Category:640年
பகுப்பு:1866 பிறப்புகள்	Category:1866年出生
பகுப்பு:1869 பிறப்புகள்	Category:1869年出生
பகுப்பு:1870 பிறப்புகள்	Category:1870年出生
பகுப்பு:1872 பிறப்புகள்	Category:1872年出生
பகுப்பு:1873 பிறப்புகள்	Category:1873年出生
பகுப்பு:1874 பிறப்புகள்	Category:1874年出生
பகுப்பு:1876 பிறப்புகள்	Category:1876年出生
பகுப்பு:1877 பிறப்புகள்	Category:1877年出生
பகுப்பு:1878 பிறப்புகள்	Category:1878年出生
பகுப்பு:1880 பிறப்புகள்	Category:1880年出生
பகுப்பு:1882 பிறப்புகள்	Category:1882年出生
பகுப்பு:1883 பிறப்புகள்	Category:1883年出生
பகுப்பு:1884 பிறப்புகள்	Category:1884年出生
பகுப்பு:1885 பிறப்புகள்	Category:1885年出生
பகுப்பு:1886 பிறப்புகள்	Category:1886年出生
பகுப்பு:1887 பிறப்புகள்	Category:1887年出生
பகுப்பு:1889 பிறப்புகள்	Category:1889年出生
பகுப்பு:1890 பிறப்புகள்	Category:1890年出生
பகுப்பு:1891 பிறப்புகள்	Category:1891年出生
பகுப்பு:1892 பிறப்புகள்	Category:1892年出生
பகுப்பு:1893 பிறப்புகள்	Category:1893年出生
பகுப்பு:1894 பிறப்புகள்	Category:1894年出生
பகுப்பு:1895 பிறப்புகள்	Category:1895年出生
பகுப்பு:1896 பிறப்புகள்	Category:1896年出生
பகுப்பு:1897 பிறப்புகள்	Category:1897年出生
பகுப்பு:1900 பிறப்புகள்	Category:1900年出生
பகுப்பு:1901 பிறப்புகள்	Category:1901年出生
பகுப்பு:1902 பிறப்புகள்	Category:1902年出生
பகுப்பு:1904 பிறப்புகள்	Category:1904年出生
பகுப்பு:1905 பிறப்புகள்	Category:1905年出生
பகுப்பு:1907 பிறப்புகள்	Category:1907年出生
பகுப்பு:1908 பிறப்புகள்	Category:1908年出生
பகுப்பு:1909 பிறப்புகள்	Category:1909年出生
பகுப்பு:1912 பிறப்புகள்	Category:1912年出生
பகுப்பு:1913 பிறப்புகள்	Category:1913年出生
பகுப்பு:1914 பிறப்புகள்	Category:1914年出生
பகுப்பு:1917 பிறப்புகள்	Category:1917年出生
பகுப்பு:1918 பிறப்புகள்	Category:1918年出生
பகுப்பு:1919 பிறப்புகள்	Category:1919年出生
பகுப்பு:1922 பிறப்புகள்	Category:1922年出生
பகுப்பு:1923 பிறப்புகள்	Category:1923年出生
பகுப்பு:1927 பிறப்புகள்	Category:1927年出生
பகுப்பு:1928 பிறப்புகள்	Category:1928年出生
பகுப்பு:1942 பிறப்புகள்	Category:1942年出生
பகுப்பு:1943 பிறப்புகள்	Category:1943年出生
பகுப்பு:1945 பிறப்புகள்	Category:1945年出生
பகுப்பு:1947 பிறப்புகள்	Category:1947年出生
பகுப்பு:1949 பிறப்புகள்	Category:1949年出生
பகுப்பு:1952 பிறப்புகள்	Category:1952年出生
பகுப்பு:1953 பிறப்புகள்	Category:1953年出生
பகுப்பு:1957 பிறப்புகள்	Category:1957年出生
பகுப்பு:1958 பிறப்புகள்	Category:1958年出生
பகுப்பு:1959 பிறப்புகள்	Category:1959年出生
பகுப்பு:1961 பிறப்புகள்	Category:1961年出生
பகுப்பு:1962 பிறப்புகள்	Category:1962年出生
பகுப்பு:1966 பிறப்புகள்	Category:1966年出生
பகுப்பு:1967 பிறப்புகள்	Category:1967年出生
பகுப்பு:1968 பிறப்புகள்	Category:1968年出生
பகுப்பு:1969 பிறப்புகள்	Category:1969年出生
பகுப்பு:1971 பிறப்புகள்	Category:1971年出生
பகுப்பு:1972 பிறப்புகள்	Category:1972年出生
பகுப்பு:1973 பிறப்புகள்	Category:1973年出生
பகுப்பு:1975 பிறப்புகள்	Category:1975年出生
பகுப்பு:1976 பிறப்புகள்	Category:1976年出生
பகுப்பு:1978 பிறப்புகள்	Category:1978年出生
பகுப்பு:1979 பிறப்புகள்	Category:1979年出生
பகுப்பு:1980 பிறப்புகள்	Category:1980年出生
பகுப்பு:1981 பிறப்புகள்	Category:1981年出生
பகுப்பு:1982 பிறப்புகள்	Category:1982年出生
பகுப்பு:1985 பிறப்புகள்	Category:1985年出生
பகுப்பு:1986 பிறப்புகள்	Category:1986年出生
பகுப்பு:1987 பிறப்புகள்	Category:1987年出生
பகுப்பு:1988 பிறப்புகள்	Category:1988年出生
பகுப்பு:1989 பிறப்புகள்	Category:1989年出生
பகுப்பு:1991 பிறப்புகள்	Category:1991年出生
பகுப்பு:1993 பிறப்புகள்	Category:1993年出生
பகுப்பு:1994 பிறப்புகள்	Category:1994年出生
பகுப்பு:1995 பிறப்புகள்	Category:1995年出生
பகுப்பு:660 இறப்புகள்	Category:660年逝世
பகுப்பு:1996 பிறப்புகள்	Category:1996年出生
பகுப்பு:1997 பிறப்புகள்	Category:1997年出生
பகுப்பு:கிமு 70 பிறப்புகள்	Category:前70年出生
பகுப்பு:685 இறப்புகள்	Category:685年逝世
வார்ப்புரு:நாட்டுத் தகவல் Autonomous City of Buenos Aires	Template:Country data Buenos Aires
வார்ப்புரு:நாட்டுத் தகவல் ஆப்கானிஸ்தான்	Template:Country data Afghanistan
பகுப்பு:1729	Category:1729年
பகுப்பு:1715	Category:1715年
பகுப்பு:1797	Category:1797年
பகுப்பு:1787	Category:1787年
பகுப்பு:1780	Category:1780年
வார்ப்புரு:ஐக்கிய அரபு அமீரகங்கள்	Template:阿拉伯联合酋长国行政区划
பகுப்பு:1539	Category:1539年
பகுப்பு:1647	Category:1647年
பகுப்பு:1584	Category:1584年
வார்ப்புரு:2009 நோபல் பரிசு வென்றவர்கள்	Template:2009年诺贝尔奖获得者
பகுப்பு:1590	Category:1590年
பகுப்பு:712	Category:712年
பகுப்பு:1671	Category:1671年
பகுப்பு:1274	Category:1274年
பகுப்பு:1676	Category:1676年
வார்ப்புரு:2010 FIFA World Cup Group B	Template:2010年世界盃決賽週 - B組
வார்ப்புரு:2010 FIFA World Cup Group C	Template:2010年世界盃決賽週 - C組
வார்ப்புரு:2010 FIFA World Cup Group E	Template:2010年世界盃決賽週 - E組
வார்ப்புரு:2010 FIFA World Cup Group G	Template:2010年世界盃決賽週 - G組
வார்ப்புரு:2010 FIFA World Cup Group H	Template:2010年世界盃決賽週 - H組
வார்ப்புரு:2010 FIFA World Cup Group D	Template:2010年世界盃決賽週 - D組
சமவுயரக் கோட்டு வரைபு	等雨線
பகுப்பு:720	Category:720年
வார்ப்புரு:2010 நோபல் பரிசு வென்றவர்கள்	Template:2010年诺贝尔奖获得者
விக்கிப்பீடியா:ஆண்டு நிறைவுகள்/ஏப்ரல்	Wikipedia:历史上的今天/4月
பகுப்பு:742	Category:742年
பகுப்பு:750	Category:750年
வார்ப்புரு:2012 நோபல் பரிசு வென்றவர்கள்	Template:2012年诺贝尔奖获得者
பகுப்பு:770	Category:770年
வார்ப்புரு:4TeamBracket	Template:4TeamBracket
பகுப்பு:800	Category:800年
வணிக அறிவாண்மை	商业智能
வார்ப்புரு:Location map India Andhra Pradesh	Template:Location map India Andhra Pradesh
வார்ப்புரு:Location map India Arunachal Pradesh	Template:Location map India Arunachal Pradesh
பகுப்பு:814	Category:814年
வார்ப்புரு:Location map India Assam	Template:Location map India Assam
பகுப்பு:814 இறப்புகள்	Category:814年逝世
வார்ப்புரு:Location map India Chhattisgarh	Template:Location map India Chhattisgarh
வார்ப்புரு:Location map India Jharkhand	Template:Location map India Jharkhand
வார்ப்புரு:Location map India Meghalaya	Template:Location map India Meghalaya
பகுப்பு:824	Category:824年
பகுப்பு:824 இறப்புகள்	Category:824年逝世
பகுப்பு:827	Category:827年
பகுப்பு:827 இறப்புகள்	Category:827年逝世
வார்ப்புரு:ALB	Template:ALB
வார்ப்புரு:ARG	Template:ARG
இளமையின் கீதம்	青春之歌
வார்ப்புரு:சிறந்த நடிகைக்கான அகாடெமி விருது 1928–1940	Template:奥斯卡最佳女主角奖 (1928–1940)
வார்ப்புரு:சிறந்த இயக்குனருக்கான அகாதமி விருது 1927–1940	Template:奥斯卡最佳导演奖 (1927–1940)
வார்ப்புரு:சிறந்த இயக்குனருக்கான அகாதமி விருது 1961–1980	Template:奥斯卡最佳导演奖 (1961–1980)
வார்ப்புரு:சிறந்த இயக்குனருக்கான அகாதமி விருது 1941–1960	Template:奥斯卡最佳导演奖 (1941–1960)
வார்ப்புரு:சிறந்த இயக்குனருக்கான அகாதமி விருது	Template:奥斯卡最佳导演奖
பகுப்பு:873	Category:873年
பகுப்பு:873 இறப்புகள்	Category:873年逝世
பகுப்பு:878 இறப்புகள்	Category:878年逝世
பகுப்பு:1310கள்	Category:1310年代
பகுப்பு:884	Category:884年
பகுப்பு:884 இறப்புகள்	Category:884年逝世
பகுப்பு:930கள்	Category:930年代
பகுப்பு:590கள்	Category:590年代
பகுப்பு:710கள்	Category:710年代
பகுப்பு:290கள்	Category:290年代
பகுப்பு:470கள்	Category:470年代
பகுப்பு:330கள்	Category:330年代
பகுப்பு:1030கள்	Category:1030年代
பகுப்பு:1290கள்	Category:1290年代
பகுப்பு:1020கள்	Category:1020年代
பகுப்பு:1520கள்	Category:1520年代
பகுப்பு:1540கள்	Category:1540年代
பகுப்பு:460கள்	Category:460年代
பகுப்பு:380கள்	Category:380年代
பகுப்பு:1090கள்	Category:1090年代
பகுப்பு:770கள்	Category:770年代
பகுப்பு:896	Category:896年
பகுப்பு:1560கள்	Category:1560年代
வார்ப்புரு:Self	Template:Self
பகுப்பு:440கள்	Category:440年代
பகுப்பு:896 இறப்புகள்	Category:896年逝世
பகுப்பு:530கள்	Category:530年代
வார்ப்புரு:Image other	Template:File other
பகுப்பு:860கள்	Category:860年代
பகுப்பு:1820கள்	Category:1820年代
பகுப்பு:1670கள்	Category:1670年代
பகுப்பு:1770கள்	Category:1770年代
பகுப்பு:1760கள்	Category:1760年代
பகுப்பு:1710கள்	Category:1710年代
பகுப்பு:1650கள்	Category:1650年代
பகுப்பு:1610கள்	Category:1610年代
பகுப்பு:1630கள்	Category:1630年代
பகுப்பு:870கள்	Category:870年代
பகுப்பு:907	Category:907年
பகுப்பு:1810கள்	Category:1810年代
பகுப்பு:680கள்	Category:680年代
பகுப்பு:750கள்	Category:750年代
பகுப்பு:620கள்	Category:620年代
பகுப்பு:1530கள்	Category:1530年代
பகுப்பு:1410கள்	Category:1410年代
பகுப்பு:1340கள்	Category:1340年代
பகுப்பு:1490கள்	Category:1490年代
பகுப்பு:1480கள்	Category:1480年代
பகுப்பு:1190கள்	Category:1190年代
பகுப்பு:270கள்	Category:270年代
பகுப்பு:1640கள்	Category:1640年代
பகுப்பு:மூன்றாம் நூற்றாண்டு	Category:3世纪
பகுப்பு:1850கள்	Category:1850年代
பகுப்பு:640கள்	Category:640年代
பகுப்பு:630கள்	Category:630年代
பகுப்பு:800கள்	Category:800年代
பகுப்பு:பதினோராம் நூற்றாண்டு	Category:11世纪
பகுப்பு:1200கள்	Category:1200年代
பகுப்பு:பதினேழாம் நூற்றாண்டு	Category:17世纪
பகுப்பு:1880கள்	Category:1880年代
பகுப்பு:1720கள்	Category:1720年代
பகுப்பு:1750கள்	Category:1750年代
பகுப்பு:1870கள்	Category:1870年代
பகுப்பு:1780கள்	Category:1780年代
பகுப்பு:931 இறப்புகள்	Category:931年逝世
பகுப்பு:720கள்	Category:720年代
பகுப்பு:1860கள்	Category:1860年代
பகுப்பு:1790கள்	Category:1790年代
பகுப்பு:1730கள்	Category:1730年代
பகுப்பு:300கள்	Category:300年代
வார்ப்புரு:Aircraft specifications	Template:Aerospecs
பகுப்பு:939	Category:939年
பகுப்பு:939 இறப்புகள்	Category:939年逝世
பகுப்பு:942	Category:942年
பகுப்பு:890கள்	Category:890年代
பகுப்பு:430கள்	Category:430年代
பகுப்பு:740கள்	Category:740年代
பகுப்பு:360கள்	Category:360年代
பகுப்பு:550கள்	Category:550年代
பகுப்பு:820கள்	Category:820年代
பகுப்பு:570கள்	Category:570年代
பகுப்பு:650கள்	Category:650年代
பகுப்பு:880கள்	Category:880年代
பகுப்பு:910கள்	Category:910年代
பகுப்பு:1050கள்	Category:1050年代
பகுப்பு:1210கள்	Category:1210年代
பகுப்பு:955 இறப்புகள்	Category:955年逝世
பகுப்பு:420கள்	Category:420年代
பகுப்பு:1170கள்	Category:1170年代
பகுப்பு:1270கள்	Category:1270年代
பகுப்பு:1280கள்	Category:1280年代
பகுப்பு:1240கள்	Category:1240年代
பகுப்பு:1350கள்	Category:1350年代
பகுப்பு:1440கள்	Category:1440年代
பகுப்பு:280கள்	Category:280年代
பகுப்பு:1110கள்	Category:1110年代
பகுப்பு:660கள்	Category:660年代
வார்ப்புரு:AllRovi movie	Template:AllMovie title
பகுப்பு:1080கள்	Category:1080年代
பகுப்பு:370கள்	Category:370年代
பகுப்பு:1130கள்	Category:1130年代
பகுப்பு:480கள்	Category:480年代
பகுப்பு:970கள்	Category:970年代
பகுப்பு:1250கள்	Category:1250年代
பகுப்பு:450கள்	Category:450年代
பகுப்பு:1800கள்	Category:1800年代
பகுப்பு:984 இறப்புகள்	Category:984年逝世
பகுப்பு:985 இறப்புகள்	Category:985年逝世
பகுப்பு:1450கள்	Category:1450年代
பகுப்பு:1570கள்	Category:1570年代
பகுப்பு:1460கள்	Category:1460年代
பகுப்பு:1470கள்	Category:1470年代
பகுப்பு:1580கள்	Category:1580年代
பகுப்பு:1180கள்	Category:1180年代
பகுப்பு:1330கள்	Category:1330年代
பகுப்பு:350கள்	Category:350年代
பகுப்பு:1040கள்	Category:1040年代
பகுப்பு:1420கள்	Category:1420年代
பகுப்பு:520கள்	Category:520年代
பகுப்பு:1700கள்	Category:1700年代
பகுப்பு:1500கள்	Category:1500年代
பகுப்பு:பத்தாம் நூற்றாண்டு	Category:10世纪
பகுப்பு:1400கள்	Category:1400年代
பகுப்பு:1220கள்	Category:1220年代
பகுப்பு:1230கள்	Category:1230年代
வார்ப்புரு:அமினோ அமிலங்கள்	Template:氨基酸
பகுப்பு:ஏழாம் நூற்றாண்டு	Category:7世纪
பகுப்பு:1120கள்	Category:1120年代
பகுப்பு:390கள்	Category:390年代
பகுப்பு:1360கள்	Category:1360年代
பகுப்பு:1260கள்	Category:1260年代
பகுப்பு:250கள்	Category:250年代
பகுப்பு:960கள்	Category:960年代
பகுப்பு:1030 இறப்புகள்	Category:1030年逝世
வார்ப்புரு:Ann	Template:Ann
பகுப்பு:1037	Category:1037年
பகுப்பு:400கள்	Category:400年代
பகுப்பு:1100கள்	Category:1100年代
பகுப்பு:1300கள்	Category:1300年代
பகுப்பு:SI அலகுகள்	Category:国际单位制
வார்ப்புரு:திருத்தூதர்கள்	Template:耶稣的十二使徒
பகுப்பு:உற்பத்தி	Category:製造業
பகுப்பு:1058	Category:1058年
பகுப்பு:1925 திரைப்படங்கள்	Category:1925年电影
பகுப்பு:1930 திரைப்படங்கள்	Category:1930年电影
பகுப்பு:1932 திரைப்படங்கள்	Category:1932年电影
பகுப்பு:1933 திரைப்படங்கள்	Category:1933年电影
பகுப்பு:வானூர்திகள் தயாரிக்கும் நிறுவனங்கள்	Category:飛機製造商
பகுப்பு:1934 திரைப்படங்கள்	Category:1934年電影
பகுப்பு:1936 திரைப்படங்கள்	Category:1936年電影
பகுப்பு:பர்மிய நபர்கள்	Category:缅甸人
வார்ப்புரு:Asia topic	Template:亚洲题目
பகுப்பு:1098	Category:1098年
பகுப்பு:1099 இறப்புகள்	Category:1099年逝世
வார்ப்புரு:Ast box	Template:占星學信息框
பகுப்பு:1102	Category:1102年
வார்ப்புரு:Astronomical catalogs	Template:Catalogs
வார்ப்புரு:Non-free Wikimedia logo	Template:Non-free Wikimedia logo
பகுப்பு:1114	Category:1114年
வார்ப்புரு:Atmospheric sciences	Template:大气科学
பகுப்பு:1122	Category:1122年
பகுப்பு:1123	Category:1123年
பகுப்பு:1130	Category:1130年
பகுப்பு:1137	Category:1137年
வார்ப்புரு:Infobox City Japan	Template:日本都市
பகுப்பு:1149	Category:1149年
பகுப்பு:1938 திரைப்படங்கள்	Category:1938年电影
பகுப்பு:1939 திரைப்படங்கள்	Category:1939年電影
பகுப்பு:1179 இறப்புகள்	Category:1179年逝世
பகுப்பு:1185	Category:1185年
பகுப்பு:1190	Category:1190年
பகுப்பு:தாவர அமைப்பியல்	Category:植物形態學
பகுப்பு:1199 இறப்புகள்	Category:1199年逝世
வார்ப்புரு:ஆத்திரேலியத் தலைநகரங்கள்	Template:AustralianCapitalCities
பகுப்பு:1221	Category:1221年
வார்ப்புரு:ஆஸ்திரேலியப் பல்கலைக்கழகங்கள்	Template:澳大利亚大学
வார்ப்புரு:Auto link	Template:AutoLink
வார்ப்புரு:Automatic Taxobox	Template:Automatic taxobox
பகுப்பு:முக்கோண வடிவவியல்	Category:三角形几何
லிடியா கோ	高寶璟
வார்ப்புரு:BGR	Template:BGR
வார்ப்புரு:BHS	Template:BHS
வார்ப்புரு:BLR	Template:BLR
வார்ப்புரு:BS-map	Template:BS-map
வார்ப்புரு:BS-map/map	Template:BS-map/map
வார்ப்புரு:BS6	Template:BS6
பகுப்பு:1284	Category:1284年
வார்ப்புரு:Bar percent	Template:Bar percent
பகுப்பு:1304	Category:1304年
வார்ப்புரு:Begin flag gallery	Template:Begin flag gallery
பகுப்பு:1316	Category:1316年
பகுப்பு:1318	Category:1318年
பகுப்பு:1323	Category:1323年
பகுப்பு:1324	Category:1324年
பகுப்பு:1324 இறப்புகள்	Category:1324年逝世
பகுப்பு:1326	Category:1326年
பகுப்பு:1326 இறப்புகள்	Category:1326年逝世
வார்ப்புரு:Bibleverse-nb	Template:Bibleverse-nb
வார்ப்புரு:Binary	Template:Binary
பகுப்பு:1344	Category:1344年
வார்ப்புரு:Biogeochemical cycle	Template:生物地質化學循環
வார்ப்புரு:பறவைகள்	Template:鳥類
பகுப்பு:1347	Category:1347年
பகுப்பு:பரிணாம உயிரியல்	Category:演化生物學
வார்ப்புரு:Blue button	Template:Blue button
பகுப்பு:1363	Category:1363年
வார்ப்புரு:BSE	Template:Bse
விக்கிப்பீடியா:விக்கித் திட்டம் உயிரியல்	Wikipedia:生物學專題
வார்ப்புரு:ISE	Template:ISE
பகுப்பு:1380	Category:1380年
வார்ப்புரு:தாவரவியல்	Template:植物学
பகுப்பு:2014	Category:2014年
பகுப்பு:2015	Category:2015年
பகுப்பு:1387	Category:1387年
பகுப்பு:குவாதலூப்பே	Category:瓜德罗普
பகுப்பு:1398	Category:1398年
பகுப்பு:1400	Category:1400年
வலைவாசல்:உயிரியல்	Portal:生物学
பகுப்பு:1404 இறப்புகள்	Category:1404年逝世
பகுப்பு:1410	Category:1410年
பகுப்பு:1412	Category:1412年
வார்ப்புரு:British-Museum-db	Template:British-Museum-db
பகுப்பு:1423	Category:1423年
பாலிதானா	帕利塔纳
பகுப்பு:1444	Category:1444年
வார்ப்புரு:PD-USGov-Military-Army	Template:PD-USGov-Military-Army
பகுப்பு:1454	Category:1454年
பகுப்பு:இந்தியப் பொருளாதாரம்	Category:印度经济
பகுப்பு:1459	Category:1459年
பகுப்பு:1459 இறப்புகள்	Category:1459年逝世
பகுப்பு:கிறித்தவர்கள்	Category:基督徒
பகுப்பு:1469	Category:1469年
பகுப்பு:1956 திரைப்படங்கள்	Category:1956年电影
பகுப்பு:நோபல் இலக்கியப் பரிசு பெற்றவர்கள்	Category:诺贝尔文学奖获得者
பகுப்பு:1502	Category:1502年
பகுப்பு:1484	Category:1484年
மைத்திரிபால சிறிசேன	邁特里帕拉·西里塞納
பகுப்பு:1485	Category:1485年
பகுப்பு:1485 இறப்புகள்	Category:1485年逝世
பகுப்பு:1487	Category:1487年
பகுப்பு:1492	Category:1492年
வார்ப்புரு:Css Image Crop	Template:CSS image crop
பகுப்பு:2001 திரைப்படங்கள்	Category:2001年电影
வார்ப்புரு:CYP	Template:CYP
பகுப்பு:இந்தியப் புவியியல்	Category:印度地理
பகுப்பு:1505 இறப்புகள்	Category:1505年逝世
பகுப்பு:1506 இறப்புகள்	Category:1506年逝世
பகுப்பு:1929 திரைப்படங்கள்	Category:1929年电影
பகுப்பு:1993 திரைப்படங்கள்	Category:1993年電影
பகுப்பு:1510 இறப்புகள்	Category:1510年逝世
பகுப்பு:1513 இறப்புகள்	Category:1513年逝世
வார்ப்புரு:Fr icon	Template:Fr icon
பகுப்பு:1515	Category:1515年
பகுப்பு:1518	Category:1518年
பகுப்பு:1518 இறப்புகள்	Category:1518年逝世
பகுப்பு:வலைவாசல்கள்	Category:主题首页
மலேசியா டுடே	今日大马
மலேசியப் பொதுத் தேர்தல், 2013	2013年马来西亚大选
பகுப்பு:1527 இறப்புகள்	Category:1527年逝世
பகுப்பு:1528 இறப்புகள்	Category:1528年逝世
பகுப்பு:1530 இறப்புகள்	Category:1530年逝世
பகுப்பு:1533	Category:1533年
பகுப்பு:1535	Category:1535年
பகுப்பு:1540	Category:1540年
பகுப்பு:1543 இறப்புகள்	Category:1543年逝世
பகுப்பு:1546	Category:1546年
பகுப்பு:பர்மிய ஆறுகள்	Category:缅甸河流
பகுப்பு:1551	Category:1551年
பகுப்பு:1552	Category:1552年
பகுப்பு:1552 இறப்புகள்	Category:1552年逝世
பகுப்பு:1555	Category:1555年
பகுப்பு:1555 இறப்புகள்	Category:1555年逝世
பகுப்பு:உயிர்வேதியியல்	Category:生物化学
பகுப்பு:1561	Category:1561年
பகுப்பு:1563	Category:1563年
பகுப்பு:1566	Category:1566年
பகுப்பு:1569	Category:1569年
பகுப்பு:1572	Category:1572年
பகுப்பு:1572 இறப்புகள்	Category:1572年逝世
பகுப்பு:1578	Category:1578年
பகுப்பு:1580	Category:1580年
பகுப்பு:1580 இறப்புகள்	Category:1580年逝世
பகுப்பு:1582	Category:1582年
பகுப்பு:1582 இறப்புகள்	Category:1582年逝世
பகுப்பு:1584 இறப்புகள்	Category:1584年逝世
பகுப்பு:1605	Category:1605年
பகுப்பு:1605 இறப்புகள்	Category:1605年逝世
பகுப்பு:1607	Category:1607年
பகுப்பு:1607 இறப்புகள்	Category:1607年逝世
பகுப்பு:1609 இறப்புகள்	Category:1609年逝世
பகுப்பு:1615	Category:1615年
பகுப்பு:1618	Category:1618年
பகுப்பு:1620	Category:1620年
பகுப்பு:1620 இறப்புகள்	Category:1620年逝世
பகுப்பு:1622	Category:1622年
பகுப்பு:1624	Category:1624年
பகுப்பு:1624 இறப்புகள்	Category:1624年逝世
பகுப்பு:1626	Category:1626年
பகுப்பு:1626 இறப்புகள்	Category:1626年逝世
பகுப்பு:1629	Category:1629年
பகுப்பு:1633	Category:1633年
பகுப்பு:1951 திரைப்படங்கள்	Category:1951年電影
பகுப்பு:1635	Category:1635年
பகுப்பு:1637	Category:1637年
பகுப்பு:1640	Category:1640年
பகுப்பு:1640 இறப்புகள்	Category:1640年逝世
பகுப்பு:1642	Category:1642年
பகுப்பு:1642 இறப்புகள்	Category:1642年逝世
பகுப்பு:1644 இறப்புகள்	Category:1644年逝世
பகுப்பு:1649	Category:1649年
பகுப்பு:1657	Category:1657年
பகுப்பு:1659	Category:1659年
பகுப்பு:1660 இறப்புகள்	Category:1660年逝世
பகுப்பு:1665	Category:1665年
பகுப்பு:1665 இறப்புகள்	Category:1665年逝世
பகுப்பு:1666 இறப்புகள்	Category:1666年逝世
பகுப்பு:1669	Category:1669年
பகுப்பு:1669 இறப்புகள்	Category:1669年逝世
பகுப்பு:1671 இறப்புகள்	Category:1671年逝世
பகுப்பு:1673 இறப்புகள்	Category:1673年逝世
பகுப்பு:1674 இறப்புகள்	Category:1674年逝世
பகுப்பு:1676 இறப்புகள்	Category:1676年逝世
பகுப்பு:1678	Category:1678年
பகுப்பு:1678 இறப்புகள்	Category:1678年逝世
பகுப்பு:1693	Category:1693年
பகுப்பு:1693 இறப்புகள்	Category:1693年逝世
பகுப்பு:1696	Category:1696年
பகுப்பு:1705	Category:1705年
பகுப்பு:1706	Category:1706年
பகுப்பு:1708 இறப்புகள்	Category:1708年逝世
பகுப்பு:1711	Category:1711年
பகுப்பு:1711 இறப்புகள்	Category:1711年逝世
பகுப்பு:1713 இறப்புகள்	Category:1713年逝世
பகுப்பு:1715 இறப்புகள்	Category:1715年逝世
பகுப்பு:1716 இறப்புகள்	Category:1716年逝世
பகுப்பு:1720	Category:1720年
பகுப்பு:1727 இறப்புகள்	Category:1727年逝世
பகுப்பு:1731 இறப்புகள்	Category:1731年逝世
பகுப்பு:1741 இறப்புகள்	Category:1741年逝世
பகுப்பு:1742 இறப்புகள்	Category:1742年逝世
பகுப்பு:1744 இறப்புகள்	Category:1744年逝世
பகுப்பு:1746 இறப்புகள்	Category:1746年逝世
பகுப்பு:1747 இறப்புகள்	Category:1747年逝世
பகுப்பு:1748 இறப்புகள்	Category:1748年逝世
பகுப்பு:1751	Category:1751年
பகுப்பு:1751 இறப்புகள்	Category:1751年逝世
பகுப்பு:1752 இறப்புகள்	Category:1752年逝世
பகுப்பு:1753 இறப்புகள்	Category:1753年逝世
பகுப்பு:1755 இறப்புகள்	Category:1755年逝世
பகுப்பு:1759 இறப்புகள்	Category:1759年逝世
பகுப்பு:1761 இறப்புகள்	Category:1761年逝世
பகுப்பு:1762 இறப்புகள்	Category:1762年逝世
பகுப்பு:1764	Category:1764年
பகுப்பு:1765	Category:1765年
பகுப்பு:1766	Category:1766年
பகுப்பு:1767	Category:1767年
